Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
135.18,2.568,4.5432,0.22011,2.2909,3.4303,58.936,16.411,25.43,943.2,0.45937,5.223,0.096468,supercritical
135.49,2.568,4.5327,0.22062,2.296,3.4381,58.993,16.428,25.443,944.08,0.45555,5.2309,0.096662,supercritical
135.79,2.568,4.5222,0.22113,2.3011,3.4459,59.051,16.444,25.455,944.96,0.45175,5.2387,0.096856,supercritical
136.1,2.568,4.5118,0.22164,2.3063,3.4537,59.108,16.46,25.468,945.84,0.44798,5.2466,0.097051,supercritical
136.4,2.568,4.5014,0.22215,2.3114,3.4615,59.165,16.477,25.48,946.72,0.44422,5.2545,0.097245,supercritical
136.71,2.568,4.491,0.22267,2.3166,3.4693,59.222,16.493,25.493,947.6,0.44049,5.2623,0.09744,supercritical
137.02,2.568,4.4808,0.22318,2.3218,3.4771,59.279,16.509,25.505,948.47,0.43677,5.2701,0.097634,supercritical
137.32,2.568,4.4705,0.22369,2.3269,3.4849,59.336,16.525,25.518,949.35,0.43308,5.278,0.097829,supercritical
137.63,2.568,4.4603,0.2242,2.3321,3.4927,59.393,16.541,25.531,950.22,0.42941,5.2858,0.098023,supercritical
137.93,2.568,4.4502,0.22471,2.3373,3.5005,59.45,16.557,25.543,951.09,0.42576,5.2936,0.098218,supercritical
138.24,2.568,4.4401,0.22522,2.3425,3.5084,59.506,16.573,25.556,951.97,0.42213,5.3014,0.098413,supercritical
138.55,2.568,4.4301,0.22573,2.3476,3.5162,59.563,16.589,25.568,952.84,0.41852,5.3093,0.098607,supercritical
138.85,2.568,4.4201,0.22624,2.3528,3.524,59.619,16.605,25.581,953.71,0.41493,5.3171,0.098802,supercritical
139.16,2.568,4.4101,0.22675,2.358,3.5318,59.676,16.621,25.593,954.58,0.41137,5.3249,0.098997,supercritical
139.47,2.568,4.4002,0.22726,2.3632,3.5397,59.732,16.637,25.606,955.45,0.40782,5.3327,0.099192,supercritical
139.77,2.568,4.3904,0.22777,2.3684,3.5475,59.788,16.653,25.618,956.31,0.40429,5.3405,0.099387,supercritical
140.08,2.568,4.3806,0.22828,2.3736,3.5554,59.844,16.669,25.631,957.18,0.40078,5.3483,0.099582,supercritical
140.38,2.568,4.3708,0.22879,2.3788,3.5632,59.9,16.684,25.643,958.04,0.39729,5.3561,0.099777,supercritical
140.69,2.568,4.3611,0.2293,2.384,3.5711,59.956,16.7,25.655,958.91,0.39382,5.3639,0.099972,supercritical
141,2.568,4.3514,0.22981,2.3892,3.5789,60.012,16.716,25.668,959.77,0.39037,5.3716,0.10017,supercritical
141.3,2.568,4.3418,0.23032,2.3945,3.5868,60.068,16.732,25.68,960.63,0.38694,5.3794,0.10036,supercritical
141.61,2.568,4.3322,0.23083,2.3997,3.5946,60.123,16.747,25.693,961.5,0.38353,5.3872,0.10056,supercritical
141.91,2.568,4.3226,0.23134,2.4049,3.6025,60.179,16.763,25.705,962.36,0.38014,5.3949,0.10075,supercritical
142.22,2.568,4.3131,0.23185,2.4102,3.6104,60.234,16.778,25.718,963.22,0.37676,5.4027,0.10095,supercritical
142.53,2.568,4.3037,0.23236,2.4154,3.6183,60.289,16.794,25.73,964.08,0.37341,5.4105,0.10114,supercritical
142.83,2.568,4.2943,0.23287,2.4206,3.6261,60.345,16.809,25.742,964.93,0.37007,5.4182,0.10134,supercritical
143.14,2.568,4.2849,0.23338,2.4259,3.634,60.4,16.825,25.755,965.79,0.36675,5.426,0.10153,supercritical
143.45,2.568,4.2756,0.23389,2.4311,3.6419,60.455,16.84,25.767,966.65,0.36345,5.4337,0.10173,supercritical
143.75,2.568,4.2663,0.2344,2.4364,3.6498,60.51,16.856,25.779,967.5,0.36017,5.4414,0.10192,supercritical
144.06,2.568,4.2571,0.2349,2.4416,3.6577,60.565,16.871,25.792,968.36,0.35691,5.4492,0.10212,supercritical
144.36,2.568,4.2479,0.23541,2.4469,3.6656,60.619,16.886,25.804,969.21,0.35366,5.4569,0.10231,supercritical
144.67,2.568,4.2387,0.23592,2.4522,3.6735,60.674,16.902,25.816,970.07,0.35043,5.4646,0.10251,supercritical
144.98,2.568,4.2296,0.23643,2.4574,3.6814,60.729,16.917,25.828,970.92,0.34722,5.4724,0.1027,supercritical
145.28,2.568,4.2205,0.23694,2.4627,3.6893,60.783,16.932,25.841,971.77,0.34403,5.4801,0.1029,supercritical
145.59,2.568,4.2115,0.23745,2.468,3.6972,60.837,16.947,25.853,972.62,0.34085,5.4878,0.1031,supercritical
145.89,2.568,4.2025,0.23796,2.4733,3.7051,60.892,16.962,25.865,973.47,0.33769,5.4955,0.10329,supercritical
146.2,2.568,4.1935,0.23846,2.4786,3.713,60.946,16.977,25.877,974.32,0.33455,5.5032,0.10349,supercritical
146.51,2.568,4.1846,0.23897,2.4839,3.721,61,16.992,25.889,975.17,0.33143,5.5109,0.10368,supercritical
146.81,2.568,4.1757,0.23948,2.4892,3.7289,61.054,17.007,25.901,976.02,0.32832,5.5186,0.10388,supercritical
147.12,2.568,4.1669,0.23999,2.4945,3.7368,61.108,17.022,25.914,976.86,0.32523,5.5263,0.10407,supercritical
147.42,2.568,4.1581,0.2405,2.4998,3.7448,61.162,17.037,25.926,977.71,0.32215,5.534,0.10427,supercritical
147.73,2.568,4.1493,0.241,2.5051,3.7527,61.216,17.052,25.938,978.55,0.3191,5.5417,0.10446,supercritical
148.04,2.568,4.1406,0.24151,2.5104,3.7606,61.27,17.067,25.95,979.4,0.31605,5.5493,0.10466,supercritical
148.34,2.568,4.1319,0.24202,2.5157,3.7686,61.323,17.082,25.962,980.24,0.31303,5.557,0.10485,supercritical
148.65,2.568,4.1232,0.24253,2.521,3.7765,61.377,17.097,25.974,981.08,0.31002,5.5647,0.10505,supercritical
148.96,2.568,4.1146,0.24304,2.5263,3.7845,61.43,17.111,25.986,981.93,0.30703,5.5723,0.10524,supercritical
149.26,2.568,4.106,0.24354,2.5317,3.7924,61.483,17.126,25.998,982.77,0.30405,5.58,0.10544,supercritical
149.57,2.568,4.0975,0.24405,2.537,3.8004,61.537,17.141,26.01,983.61,0.30109,5.5876,0.10563,supercritical
149.87,2.568,4.089,0.24456,2.5423,3.8084,61.59,17.155,26.022,984.45,0.29814,5.5953,0.10583,supercritical
150.18,2.568,4.0805,0.24507,2.5477,3.8163,61.643,17.17,26.034,985.29,0.29521,5.6029,0.10602,supercritical
150.49,2.568,4.0721,0.24557,2.553,3.8243,61.696,17.184,26.046,986.13,0.2923,5.6106,0.10622,supercritical
150.79,2.568,4.0637,0.24608,2.5584,3.8323,61.749,17.199,26.057,986.96,0.2894,5.6182,0.10641,supercritical
151.1,2.568,4.0554,0.24659,2.5637,3.8403,61.802,17.213,26.069,987.8,0.28651,5.6259,0.10661,supercritical
151.4,2.568,4.047,0.24709,2.5691,3.8482,61.855,17.228,26.081,988.64,0.28364,5.6335,0.10681,supercritical
151.71,2.568,4.0388,0.2476,2.5745,3.8562,61.907,17.242,26.093,989.47,0.28079,5.6411,0.107,supercritical
152.02,2.568,4.0305,0.24811,2.5798,3.8642,61.96,17.257,26.105,990.31,0.27795,5.6487,0.1072,supercritical
152.32,2.568,4.0223,0.24861,2.5852,3.8722,62.012,17.271,26.117,991.14,0.27512,5.6564,0.10739,supercritical
152.63,2.568,4.0141,0.24912,2.5906,3.8802,62.065,17.285,26.128,991.97,0.27231,5.664,0.10759,supercritical
152.93,2.568,4.006,0.24963,2.5959,3.8882,62.117,17.299,26.14,992.8,0.26952,5.6716,0.10778,supercritical
153.24,2.568,3.9978,0.25013,2.6013,3.8962,62.17,17.314,26.152,993.64,0.26674,5.6792,0.10798,supercritical
153.55,2.568,3.9898,0.25064,2.6067,3.9042,62.222,17.328,26.163,994.47,0.26397,5.6868,0.10817,supercritical
153.85,2.568,3.9817,0.25115,2.6121,3.9122,62.274,17.342,26.175,995.3,0.26122,5.6944,0.10837,supercritical
154.16,2.568,3.9737,0.25165,2.6175,3.9202,62.326,17.356,26.187,996.13,0.25848,5.702,0.10856,supercritical
154.47,2.568,3.9657,0.25216,2.6229,3.9283,62.378,17.37,26.198,996.96,0.25576,5.7096,0.10876,supercritical
154.77,2.568,3.9578,0.25267,2.6283,3.9363,62.43,17.384,26.21,997.78,0.25305,5.7171,0.10895,supercritical
155.08,2.568,3.9499,0.25317,2.6337,3.9443,62.482,17.398,26.221,998.61,0.25035,5.7247,0.10914,supercritical
155.38,2.568,3.942,0.25368,2.6391,3.9523,62.533,17.412,26.233,999.44,0.24767,5.7323,0.10934,supercritical
155.69,2.568,3.9341,0.25419,2.6445,3.9604,62.585,17.426,26.244,1000.3,0.245,5.7399,0.10953,supercritical
156,2.568,3.9263,0.25469,2.6499,3.9684,62.636,17.439,26.256,1001.1,0.24235,5.7474,0.10973,supercritical
156.3,2.568,3.9185,0.2552,2.6553,3.9764,62.688,17.453,26.267,1001.9,0.2397,5.755,0.10992,supercritical
