x_mm,r_mm
-131.71091,48.38320
-131.51091,48.38320
-131.31091,48.38320
-131.11091,48.38320
-130.91091,48.38320
-130.71091,48.38320
-130.51091,48.38320
-130.31091,48.38320
-130.11091,48.38320
-129.91091,48.38320
-129.71091,48.38320
-129.51091,48.38320
-129.31091,48.38320
-129.11091,48.38320
-128.91091,48.38320
-128.71091,48.38320
-128.51091,48.38320
-128.31091,48.38320
-128.11091,48.38320
-127.91091,48.38320
-127.71091,48.38320
-127.51091,48.38320
-127.31091,48.38320
-127.11091,48.38320
-126.91091,48.38320
-126.71091,48.38320
-126.51091,48.38320
-126.31091,48.38320
-126.11091,48.38320
-125.91091,48.38320
-125.71091,48.38320
-125.51091,48.38320
-125.31091,48.38320
-125.11091,48.38320
-124.91091,48.38320
-124.71091,48.38320
-124.51091,48.38320
-124.31091,48.38320
-124.11091,48.38320
-123.91091,48.38320
-123.71091,48.38320
-123.51091,48.38320
-123.31091,48.38320
-123.11091,48.38320
-122.91091,48.38320
-122.71091,48.38320
-122.51091,48.38320
-122.31091,48.38320
-122.11091,48.38320
-121.91091,48.38320
-121.71091,48.38320
-121.51091,48.38320
-121.31091,48.38320
-121.11091,48.38320
-120.91091,48.38320
-120.71091,48.38320
-120.51091,48.38320
-120.31091,48.38320
-120.11091,48.38320
-119.91091,48.38320
-119.71091,48.38320
-119.51091,48.38320
-119.31091,48.38320
-119.11091,48.38320
-118.91091,48.38320
-118.71091,48.38320
-118.51091,48.38320
-118.31091,48.38320
-118.11091,48.38320
-117.91091,48.38320
-117.71091,48.38320
-117.51091,48.38320
-117.31091,48.38320
-117.11091,48.38320
-116.91091,48.38320
-116.71091,48.38320
-116.51091,48.38320
-116.31091,48.38320
-116.11091,48.38320
-115.91091,48.38320
-115.71091,48.38320
-115.51091,48.38320
-115.31091,48.38320
-115.11091,48.38320
-114.91091,48.38320
-114.71091,48.38320
-114.51091,48.38320
-114.31091,48.38320
-114.11091,48.38320
-113.91091,48.38320
-113.71091,48.38320
-113.51091,48.38320
-113.31091,48.38320
-113.11091,48.38320
-112.91091,48.38320
-112.71091,48.38320
-112.51091,48.38320
-112.31091,48.38320
-112.11091,48.38320
-111.91091,48.38320
-111.71091,48.38320
-111.51091,48.38320
-111.31091,48.38320
-111.11091,48.38320
-110.91091,48.38320
-110.71091,48.38320
-110.51091,48.38320
-110.31091,48.38320
-110.11091,48.38320
-109.91091,48.38320
-109.71091,48.38320
-109.51091,48.38320
-109.31091,48.38320
-109.11091,48.38320
-108.91091,48.38320
-108.71091,48.38320
-108.51091,48.38320
-108.31091,48.38320
-108.11091,48.38320
-107.91091,48.38320
-107.71091,48.38320
-107.51091,48.38320
-107.31091,48.38320
-107.11091,48.38320
-106.91091,48.38320
-106.71091,48.38320
-106.51091,48.38320
-106.31091,48.38320
-106.11091,48.38320
-105.91091,48.38320
-105.71091,48.38320
-105.51091,48.38320
-105.31091,48.38320
-105.11091,48.38320
-104.91091,48.38320
-104.71091,48.38320
-104.51091,48.38320
-104.31091,48.38320
-104.11091,48.38320
-103.91091,48.38320
-103.71091,48.38320
-103.51091,48.38320
-103.31091,48.38320
-103.11091,48.38320
-102.91091,48.38320
-102.71091,48.38320
-102.51091,48.38320
-102.31091,48.38320
-102.11091,48.38320
-101.91091,48.38320
-101.71091,48.38320
-101.51091,48.38320
-101.31091,48.38320
-101.11091,48.38320
-100.91091,48.38320
-100.71091,48.38320
-100.51091,48.38320
-100.31091,48.38320
-100.11091,48.38320
-99.91091,48.38320
-99.71091,48.38320
-99.51091,48.38320
-99.31091,48.38320
-99.11091,48.38320
-98.91091,48.38320
-98.71091,48.38320
-98.51091,48.38320
-98.31091,48.38320
-98.11091,48.38320
-97.91091,48.38320
-97.71091,48.38320
-97.51091,48.38320
-97.31091,48.38320
-97.11091,48.38320
-96.91091,48.38320
-96.71091,48.38320
-96.51091,48.38320
-96.31091,48.38320
-96.11091,48.38320
-95.91091,48.38320
-95.71091,48.38320
-95.51091,48.38320
-95.31091,48.38320
-95.11091,48.38320
-94.91091,48.38320
-94.71091,48.38320
-94.51091,48.38320
-94.31091,48.38320
-94.11091,48.38320
-93.91091,48.38320
-93.71091,48.38320
-93.51091,48.38320
-93.31091,48.38320
-93.11091,48.38320
-92.91091,48.38320
-92.71091,48.38320
-92.51091,48.38320
-92.31091,48.38320
-92.11091,48.38320
-91.91091,48.38320
-91.71091,48.38320
-91.51091,48.38320
-91.31091,48.38320
-91.11091,48.38320
-90.91091,48.38320
-90.71091,48.38320
-90.51091,48.38320
-90.31091,48.38320
-90.11091,48.38320
-89.91091,48.38320
-89.71091,48.38320
-89.51091,48.38320
-89.31091,48.38320
-89.11091,48.38320
-88.91091,48.38320
-88.71091,48.38320
-88.51091,48.38320
-88.31091,48.38320
-88.11091,48.38320
-87.91091,48.38320
-87.71091,48.38320
-87.51091,48.38320
-87.31091,48.38320
-87.11091,48.38320
-86.91091,48.38320
-86.71091,48.38320
-86.51091,48.38320
-86.31091,48.38320
-86.11091,48.38320
-85.91091,48.38320
-85.71091,48.38320
-85.51091,48.38320
-85.31091,48.38320
-85.11091,48.38320
-84.91091,48.38320
-84.71091,48.38320
-84.51091,48.38320
-84.31091,48.38320
-84.11091,48.38320
-83.91091,48.38320
-83.71091,48.38320
-83.51091,48.38320
-83.31091,48.38320
-83.11091,48.38320
-82.91091,48.38320
-82.71091,48.38320
-82.51091,48.38320
-82.31091,48.38320
-82.11091,48.38320
-81.91091,48.38320
-81.71091,48.38320
-81.51091,48.38320
-81.31091,48.38320
-81.11091,48.38320
-80.91091,48.38320
-80.71091,48.38320
-80.51091,48.38320
-80.31091,48.38320
-80.11091,48.38320
-79.91091,48.38320
-79.71091,48.38320
-79.51091,48.38320
-79.31091,48.38320
-79.11091,48.38320
-78.91091,48.38320
-78.71091,48.38320
-78.51091,48.38320
-78.31091,48.38320
-78.11091,48.38320
-77.91091,48.38320
-77.71091,48.38320
-77.51091,48.38320
-77.31091,48.38320
-77.11091,48.38320
-76.91091,48.38320
-76.71091,48.38320
-76.51091,48.38320
-76.31091,48.38320
-76.11091,48.38320
-75.91091,48.38320
-75.71091,48.38320
-75.51091,48.38320
-75.31091,48.38320
-75.11091,48.38320
-74.91091,48.38320
-74.71091,48.38320
-74.51091,48.38320
-74.31091,48.38320
-74.11091,48.38320
-73.91091,48.38320
-73.71091,48.38320
-73.51091,48.38320
-73.31091,48.38320
-73.11091,48.38320
-72.91091,48.38320
-72.71091,48.38320
-72.51091,48.38320
-72.31091,48.38320
-72.11091,48.38320
-71.91091,48.38320
-71.71091,48.38320
-71.51091,48.38320
-71.31091,48.38320
-71.11091,48.38320
-70.91091,48.38320
-70.71091,48.38320
-70.51091,48.38320
-70.31091,48.38320
-70.11091,48.38320
-69.91091,48.38320
-69.71091,48.38320
-69.51091,48.38320
-69.31091,48.38320
-69.11091,48.38320
-68.91091,48.38320
-68.71091,48.38320
-68.51091,48.38320
-68.31091,48.38320
-68.11091,48.38320
-67.91091,48.38320
-67.71091,48.38232
-67.51091,48.37987
-67.31091,48.37587
-67.11091,48.37031
-66.91091,48.36318
-66.71091,48.35450
-66.51091,48.34425
-66.31091,48.33243
-66.11091,48.31905
-65.91091,48.30409
-65.71091,48.28756
-65.51091,48.26946
-65.31091,48.24977
-65.11091,48.22850
-64.91091,48.20565
-64.71091,48.18120
-64.51091,48.15515
-64.31091,48.12751
-64.11091,48.09826
-63.91091,48.06739
-63.71091,48.03491
-63.51091,48.00080
-63.31091,47.96507
-63.11091,47.92769
-62.91091,47.88867
-62.71091,47.84800
-62.51091,47.80567
-62.31091,47.76166
-62.11091,47.71598
-61.91091,47.66862
-61.71091,47.61955
-61.51091,47.56878
-61.31091,47.51629
-61.11091,47.46208
-60.91091,47.40612
-60.71091,47.34841
-60.51091,47.28894
-60.31091,47.22769
-60.11091,47.16465
-59.91091,47.09981
-59.71091,47.03315
-59.51091,46.96466
-59.31091,46.89432
-59.11091,46.82211
-58.91091,46.74802
-58.71091,46.67203
-58.51091,46.59412
-58.31091,46.51428
-58.11091,46.43248
-57.91091,46.34870
-57.71091,46.26293
-57.51091,46.17514
-57.31091,46.08530
-57.11091,45.99340
-56.91091,45.89941
-56.71091,45.80330
-56.51091,45.70506
-56.31091,45.60464
-56.11091,45.50202
-55.91091,45.39717
-55.71091,45.29007
-55.51091,45.18067
-55.31091,45.06895
-55.11091,44.95486
-54.91091,44.83940
-54.71091,44.72393
-54.51091,44.60846
-54.31091,44.49299
-54.11091,44.37752
-53.91091,44.26205
-53.71091,44.14658
-53.51091,44.03111
-53.31091,43.91564
-53.11091,43.80017
-52.91091,43.68470
-52.71091,43.56923
-52.51091,43.45376
-52.31091,43.33829
-52.11091,43.22282
-51.91091,43.10735
-51.71091,42.99188
-51.51091,42.87641
-51.31091,42.76094
-51.11091,42.64547
-50.91091,42.53000
-50.71091,42.41453
-50.51091,42.29906
-50.31091,42.18359
-50.11091,42.06812
-49.91091,41.95265
-49.71091,41.83718
-49.51091,41.72171
-49.31091,41.60624
-49.11091,41.49077
-48.91091,41.37530
-48.71091,41.25983
-48.51091,41.14436
-48.31091,41.02889
-48.11091,40.91342
-47.91091,40.79795
-47.71091,40.68248
-47.51091,40.56701
-47.31091,40.45154
-47.11091,40.33607
-46.91091,40.22060
-46.71091,40.10513
-46.51091,39.98966
-46.31091,39.87419
-46.11091,39.75872
-45.91091,39.64325
-45.71091,39.52778
-45.51091,39.41231
-45.31091,39.29684
-45.11091,39.18137
-44.91091,39.06590
-44.71091,38.95043
-44.51091,38.83496
-44.31091,38.71949
-44.11091,38.60402
-43.91091,38.48855
-43.71091,38.37308
-43.51091,38.25761
-43.31091,38.14214
-43.11091,38.02667
-42.91091,37.91120
-42.71091,37.79573
-42.51091,37.68026
-42.31091,37.56479
-42.11091,37.44932
-41.91091,37.33385
-41.71091,37.21838
-41.51091,37.10291
-41.31091,36.98744
-41.11091,36.87197
-40.91091,36.75650
-40.71091,36.64103
-40.51091,36.52556
-40.31091,36.41009
-40.11091,36.29462
-39.91091,36.17915
-39.71091,36.06368
-39.51091,35.94821
-39.31091,35.83274
-39.11091,35.71727
-38.91091,35.60180
-38.71091,35.48633
-38.51091,35.37086
-38.31091,35.25539
-38.11091,35.13992
-37.91091,35.02445
-37.71091,34.90898
-37.51091,34.79351
-37.31091,34.67804
-37.11091,34.56257
-36.91091,34.44710
-36.71091,34.33163
-36.51091,34.21616
-36.31091,34.10069
-36.11091,33.98522
-35.91091,33.86975
-35.71091,33.75428
-35.51091,33.63881
-35.31091,33.52334
-35.11091,33.40787
-34.91091,33.29240
-34.71091,33.17693
-34.51091,33.06146
-34.31091,32.94599
-34.11091,32.83052
-33.91091,32.71505
-33.71091,32.59958
-33.51091,32.48411
-33.31091,32.36864
-33.11091,32.25317
-32.91091,32.13770
-32.71091,32.02223
-32.51091,31.90676
-32.31091,31.79129
-32.11091,31.67582
-31.91091,31.56035
-31.71091,31.44488
-31.51091,31.32941
-31.31091,31.21393
-31.11091,31.09846
-30.91091,30.98299
-30.71091,30.86752
-30.51091,30.75205
-30.31091,30.63658
-30.11091,30.52111
-29.91091,30.40564
-29.71091,30.29017
-29.51091,30.17470
-29.31091,30.05923
-29.11091,29.94376
-28.91091,29.82829
-28.71091,29.71282
-28.51091,29.59735
-28.31091,29.48188
-28.11091,29.36641
-27.91091,29.25094
-27.71091,29.13547
-27.51091,29.02000
-27.31091,28.90453
-27.11091,28.78906
-26.91091,28.67359
-26.71091,28.55812
-26.51091,28.44265
-26.31091,28.32718
-26.11091,28.21171
-25.91091,28.09624
-25.71091,27.98077
-25.51091,27.86530
-25.31091,27.74983
-25.11091,27.63436
-24.91091,27.51889
-24.71091,27.40342
-24.51091,27.28795
-24.31091,27.17248
-24.11091,27.05701
-23.91091,26.94154
-23.71091,26.82607
-23.51091,26.71060
-23.31091,26.59513
-23.11091,26.47966
-22.91091,26.36419
-22.71091,26.24872
-22.51091,26.13325
-22.31091,26.01778
-22.11091,25.90231
-21.91091,25.78684
-21.71091,25.67137
-21.51091,25.55590
-21.31091,25.44043
-21.11091,25.32496
-20.91091,25.20949
-20.71091,25.09402
-20.51091,24.97855
-20.31091,24.86308
-20.11091,24.74761
-19.91091,24.63214
-19.71091,24.51667
-19.51091,24.40120
-19.31091,24.28573
-19.11091,24.17026
-18.91091,24.05479
-18.71091,23.93932
-18.51091,23.82385
-18.31091,23.70838
-18.11091,23.59291
-17.91091,23.47744
-17.71091,23.36197
-17.51091,23.24650
-17.31091,23.13103
-17.11091,23.01556
-16.91091,22.90009
-16.71091,22.78462
-16.51091,22.66915
-16.31091,22.55368
-16.11091,22.43821
-15.91091,22.32274
-15.71091,22.20727
-15.51091,22.09180
-15.31091,21.97633
-15.11091,21.86086
-14.91091,21.74539
-14.71091,21.62992
-14.51091,21.51445
-14.31091,21.39898
-14.11091,21.28351
-13.91091,21.16804
-13.71091,21.05257
-13.51091,20.93710
-13.31091,20.82163
-13.11091,20.70616
-12.91091,20.59069
-12.71091,20.47564
-12.51091,20.36277
-12.31091,20.25224
-12.11091,20.14402
-11.91091,20.03808
-11.71091,19.93438
-11.51091,19.83289
-11.31091,19.73359
-11.11091,19.63644
-10.91091,19.54142
-10.71091,19.44851
-10.51091,19.35767
-10.31091,19.26888
-10.11091,19.18213
-9.91091,19.09738
-9.71091,19.01462
-9.51091,18.93382
-9.31091,18.85497
-9.11091,18.77805
-8.91091,18.70304
-8.71091,18.62991
-8.51091,18.55866
-8.31091,18.48927
-8.11091,18.42172
-7.91091,18.35599
-7.71091,18.29207
-7.51091,18.22995
-7.31091,18.16962
-7.11091,18.11105
-6.91091,18.05424
-6.71091,17.99918
-6.51091,17.94585
-6.31091,17.89424
-6.11091,17.84435
-5.91091,17.79615
-5.71091,17.74965
-5.51091,17.70483
-5.31091,17.66169
-5.11091,17.62021
-4.91091,17.58038
-4.71091,17.54221
-4.51091,17.50567
-4.31091,17.47077
-4.11091,17.43750
-3.91091,17.40584
-3.71091,17.37581
-3.51091,17.34738
-3.31091,17.32055
-3.11091,17.29533
-2.91091,17.27170
-2.71091,17.24965
-2.51091,17.22920
-2.31091,17.21032
-2.11091,17.19302
-1.91091,17.17730
-1.71091,17.16315
-1.51091,17.15057
-1.31091,17.13955
-1.11091,17.13011
-0.91091,17.12222
-0.71091,17.11590
-0.51091,17.11113
-0.31091,17.10793
-0.11091,17.10629
0.08909,17.10665
0.28909,17.11244
0.48909,17.12438
0.68909,17.14248
0.88909,17.16681
1.08909,17.19744
1.28909,17.23446
1.48909,17.27798
1.68909,17.32812
1.88909,17.38507
2.08909,17.44899
2.28909,17.52011
2.48909,17.59868
2.68909,17.68500
2.88909,17.77942
3.08909,17.88232
3.28909,17.99411
3.48909,18.10923
3.68909,18.22379
3.88909,18.33779
4.08909,18.45124
4.28909,18.56414
4.48909,18.67650
4.68909,18.78832
4.88909,18.89962
5.08909,19.01039
5.28909,19.12065
5.48909,19.23039
5.68909,19.33963
5.88909,19.44836
6.08909,19.55659
6.28909,19.66434
6.48909,19.77159
6.68909,19.87837
6.88909,19.98466
7.08909,20.09049
7.28909,20.19584
7.48909,20.30073
7.68909,20.40517
7.88909,20.50914
8.08909,20.61267
8.28909,20.71575
8.48909,20.81839
8.68909,20.92059
8.88909,21.02236
9.08909,21.12370
9.28909,21.22461
9.48909,21.32510
9.68909,21.42517
9.88909,21.52483
10.08909,21.62407
10.28909,21.72291
10.48909,21.82135
10.68909,21.91938
10.88909,22.01702
11.08909,22.11427
11.28909,22.21113
11.48909,22.30760
11.68909,22.40369
11.88909,22.49940
12.08909,22.59473
12.28909,22.68969
12.48909,22.78428
12.68909,22.87850
12.88909,22.97236
13.08909,23.06586
13.28909,23.15899
13.48909,23.25178
13.68909,23.34421
13.88909,23.43629
14.08909,23.52803
14.28909,23.61942
14.48909,23.71047
14.68909,23.80118
14.88909,23.89156
15.08909,23.98160
15.28909,24.07131
15.48909,24.16070
15.68909,24.24975
15.88909,24.33849
16.08909,24.42690
16.28909,24.51500
16.48909,24.60278
16.68909,24.69025
16.88909,24.77741
17.08909,24.86425
17.28909,24.95079
17.48909,25.03703
17.68909,25.12297
17.88909,25.20860
18.08909,25.29394
18.28909,25.37898
18.48909,25.46373
18.68909,25.54818
18.88909,25.63235
19.08909,25.71623
19.28909,25.79983
19.48909,25.88314
19.68909,25.96617
19.88909,26.04892
20.08909,26.13139
20.28909,26.21359
20.48909,26.29552
20.68909,26.37717
20.88909,26.45855
21.08909,26.53967
21.28909,26.62052
21.48909,26.70110
21.68909,26.78142
21.88909,26.86148
22.08909,26.94128
22.28909,27.02083
22.48909,27.10012
22.68909,27.17915
22.88909,27.25793
23.08909,27.33646
23.28909,27.41474
23.48909,27.49277
23.68909,27.57056
23.88909,27.64810
24.08909,27.72540
24.28909,27.80246
24.48909,27.87928
24.68909,27.95586
24.88909,28.03220
25.08909,28.10831
25.28909,28.18418
25.48909,28.25982
25.68909,28.33523
25.88909,28.41041
26.08909,28.48536
26.28909,28.56008
26.48909,28.63458
26.68909,28.70885
26.88909,28.78290
27.08909,28.85673
27.28909,28.93034
27.48909,29.00373
27.68909,29.07690
27.88909,29.14985
28.08909,29.22259
28.28909,29.29512
28.48909,29.36743
28.68909,29.43953
28.88909,29.51142
29.08909,29.58310
29.28909,29.65457
29.48909,29.72584
29.68909,29.79690
29.88909,29.86776
30.08909,29.93841
30.28909,30.00886
30.48909,30.07911
30.68909,30.14916
30.88909,30.21902
31.08909,30.28867
31.28909,30.35813
31.48909,30.42739
31.68909,30.49646
31.88909,30.56533
32.08909,30.63401
32.28909,30.70250
32.48909,30.77080
32.68909,30.83891
32.88909,30.90683
33.08909,30.97457
33.28909,31.04212
33.48909,31.10948
33.68909,31.17666
33.88909,31.24365
34.08909,31.31047
34.28909,31.37710
34.48909,31.44355
34.68909,31.50982
34.88909,31.57591
35.08909,31.64183
35.28909,31.70756
35.48909,31.77313
35.68909,31.83851
35.88909,31.90373
36.08909,31.96876
36.28909,32.03363
36.48909,32.09833
36.68909,32.16285
36.88909,32.22721
37.08909,32.29139
37.28909,32.35541
37.48909,32.41926
37.68909,32.48294
37.88909,32.54646
38.08909,32.60981
38.28909,32.67300
38.48909,32.73603
38.68909,32.79889
38.88909,32.86159
39.08909,32.92413
39.28909,32.98651
39.48909,33.04873
39.68909,33.11080
39.88909,33.17270
40.08909,33.23445
40.28909,33.29604
40.48909,33.35747
40.68909,33.41875
40.88909,33.47988
41.08909,33.54085
41.28909,33.60167
41.48909,33.66234
41.68909,33.72285
41.88909,33.78322
42.08909,33.84343
42.28909,33.90350
42.48909,33.96342
42.68909,34.02318
42.88909,34.08281
43.08909,34.14228
43.28909,34.20161
43.48909,34.26079
43.68909,34.31983
43.88909,34.37873
44.08909,34.43748
44.28909,34.49609
44.48909,34.55455
44.68909,34.61288
44.88909,34.67106
45.08909,34.72911
45.28909,34.78701
45.48909,34.84478
45.68909,34.90240
45.88909,34.95989
46.08909,35.01724
46.28909,35.07446
46.48909,35.13154
46.68909,35.18848
46.88909,35.24529
47.08909,35.30196
47.28909,35.35850
47.48909,35.41491
47.68909,35.47119
47.88909,35.52733
48.08909,35.58334
48.28909,35.63922
48.48909,35.69497
48.68909,35.75059
48.88909,35.80608
49.08909,35.86144
49.28909,35.91667
49.48909,35.97178
49.68909,36.02676
49.88909,36.08161
50.08909,36.13633
50.28909,36.19093
50.48909,36.24541
50.68909,36.29976
50.88909,36.35398
51.08909,36.40809
51.28909,36.46206
51.48909,36.51592
51.68909,36.56965
51.88909,36.62327
52.08909,36.67676
52.28909,36.73013
52.48909,36.78338
52.68909,36.83651
52.88909,36.88952
53.08909,36.94241
53.28909,36.99518
53.48909,37.04784
53.68909,37.10038
53.88909,37.15280
54.08909,37.20510
54.28909,37.25729
54.48909,37.30937
54.68909,37.36132
