Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
427.97	6.2500	55.863	0.017901	8.7556	12.336	180.99	22.255	31.676	400.77	1.0256	28.285	0.037985	supercritical
429.43	6.2500	55.662	0.017965	8.7889	12.382	181.10	22.267	31.679	401.43	1.0162	28.351	0.038082	supercritical
430.89	6.2500	55.463	0.018030	8.8222	12.428	181.21	22.280	31.683	402.09	1.0069	28.417	0.038179	supercritical
432.35	6.2500	55.266	0.018094	8.8556	12.474	181.32	22.293	31.686	402.75	0.99764	28.484	0.038275	supercritical
433.80	6.2500	55.070	0.018159	8.8890	12.521	181.42	22.305	31.690	403.40	0.98846	28.550	0.038372	supercritical
435.26	6.2500	54.875	0.018223	8.9223	12.567	181.53	22.318	31.694	404.06	0.97935	28.616	0.038468	supercritical
436.72	6.2500	54.682	0.018287	8.9557	12.613	181.64	22.331	31.698	404.71	0.97032	28.682	0.038565	supercritical
438.18	6.2500	54.491	0.018352	8.9891	12.659	181.74	22.344	31.702	405.36	0.96135	28.748	0.038661	supercritical
439.64	6.2500	54.300	0.018416	9.0225	12.706	181.85	22.357	31.706	406.01	0.95246	28.814	0.038757	supercritical
441.10	6.2500	54.112	0.018480	9.0560	12.752	181.95	22.370	31.711	406.66	0.94364	28.880	0.038854	supercritical
442.56	6.2500	53.924	0.018545	9.0894	12.798	182.06	22.383	31.715	407.30	0.93489	28.946	0.038950	supercritical
444.02	6.2500	53.738	0.018609	9.1229	12.844	182.16	22.396	31.720	407.95	0.92621	29.011	0.039046	supercritical
445.48	6.2500	53.554	0.018673	9.1563	12.891	182.27	22.409	31.725	408.59	0.91760	29.077	0.039142	supercritical
446.94	6.2500	53.370	0.018737	9.1898	12.937	182.37	22.422	31.730	409.23	0.90906	29.142	0.039238	supercritical
448.40	6.2500	53.188	0.018801	9.2233	12.983	182.47	22.436	31.735	409.87	0.90058	29.208	0.039334	supercritical
449.86	6.2500	53.008	0.018865	9.2568	13.030	182.58	22.449	31.741	410.51	0.89217	29.273	0.039430	supercritical
451.32	6.2500	52.828	0.018929	9.2903	13.076	182.68	22.462	31.746	411.15	0.88383	29.338	0.039526	supercritical
452.78	6.2500	52.650	0.018993	9.3238	13.122	182.78	22.475	31.752	411.78	0.87555	29.403	0.039622	supercritical
454.24	6.2500	52.473	0.019057	9.3574	13.169	182.88	22.489	31.758	412.42	0.86733	29.468	0.039718	supercritical
455.70	6.2500	52.298	0.019121	9.3909	13.215	182.99	22.502	31.763	413.05	0.85918	29.533	0.039814	supercritical
457.15	6.2500	52.123	0.019185	9.4245	13.261	183.09	22.516	31.769	413.68	0.85110	29.598	0.039910	supercritical
458.61	6.2500	51.950	0.019249	9.4581	13.308	183.19	22.529	31.775	414.31	0.84307	29.663	0.040005	supercritical
460.07	6.2500	51.778	0.019313	9.4917	13.354	183.29	22.543	31.782	414.94	0.83511	29.728	0.040101	supercritical
461.53	6.2500	51.608	0.019377	9.5253	13.401	183.39	22.556	31.788	415.56	0.82721	29.792	0.040196	supercritical
462.99	6.2500	51.438	0.019441	9.5589	13.447	183.49	22.570	31.794	416.19	0.81937	29.857	0.040292	supercritical
464.45	6.2500	51.270	0.019505	9.5926	13.493	183.59	22.583	31.801	416.81	0.81159	29.921	0.040387	supercritical
465.91	6.2500	51.103	0.019568	9.6262	13.540	183.69	22.597	31.808	417.43	0.80387	29.986	0.040483	supercritical
467.37	6.2500	50.937	0.019632	9.6599	13.586	183.79	22.611	31.814	418.06	0.79621	30.050	0.040578	supercritical
468.83	6.2500	50.772	0.019696	9.6936	13.633	183.89	22.624	31.821	418.67	0.78861	30.114	0.040674	supercritical
470.29	6.2500	50.608	0.019760	9.7273	13.679	183.99	22.638	31.828	419.29	0.78106	30.178	0.040769	supercritical
471.75	6.2500	50.445	0.019824	9.7610	13.726	184.09	22.652	31.835	419.91	0.77357	30.242	0.040864	supercritical
473.21	6.2500	50.284	0.019887	9.7947	13.772	184.18	22.665	31.842	420.52	0.76614	30.306	0.040959	supercritical
474.67	6.2500	50.123	0.019951	9.8284	13.818	184.28	22.679	31.850	421.14	0.75877	30.370	0.041054	supercritical
476.13	6.2500	49.964	0.020015	9.8622	13.865	184.38	22.693	31.857	421.75	0.75145	30.434	0.041150	supercritical
477.59	6.2500	49.805	0.020078	9.8960	13.911	184.48	22.707	31.864	422.36	0.74419	30.498	0.041245	supercritical
479.05	6.2500	49.648	0.020142	9.9297	13.958	184.58	22.721	31.872	422.97	0.73698	30.561	0.041340	supercritical
480.51	6.2500	49.492	0.020205	9.9636	14.004	184.67	22.734	31.880	423.58	0.72982	30.625	0.041434	supercritical
481.96	6.2500	49.337	0.020269	9.9974	14.051	184.77	22.748	31.887	424.19	0.72272	30.688	0.041529	supercritical
483.42	6.2500	49.182	0.020332	10.031	14.098	184.87	22.762	31.895	424.79	0.71567	30.752	0.041624	supercritical
484.88	6.2500	49.029	0.020396	10.065	14.144	184.96	22.776	31.903	425.40	0.70867	30.815	0.041719	supercritical
