Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
490.72,3.75,29.208,0.034238,10.278,14.386,189.74,22.775,31.568,423.44,0.73038,30.663,0.041413,vapor
492.18,3.75,29.119,0.034341,10.312,14.433,189.84,22.789,31.579,424.03,0.72327,30.727,0.04151,vapor
493.64,3.75,29.031,0.034445,10.345,14.479,189.93,22.803,31.59,424.63,0.71621,30.79,0.041607,vapor
495.1,3.75,28.944,0.034549,10.379,14.525,190.02,22.818,31.601,425.22,0.70919,30.854,0.041703,vapor
496.56,3.75,28.857,0.034653,10.413,14.571,190.12,22.832,31.612,425.81,0.70224,30.918,0.0418,vapor
498.02,3.75,28.771,0.034757,10.446,14.617,190.21,22.846,31.623,426.4,0.69533,30.981,0.041896,vapor
499.48,3.75,28.685,0.034861,10.48,14.663,190.3,22.861,31.634,426.99,0.68847,31.045,0.041993,vapor
500.94,3.75,28.6,0.034965,10.514,14.709,190.4,22.875,31.646,427.58,0.68167,31.108,0.042089,vapor
502.4,3.75,28.516,0.035069,10.547,14.756,190.49,22.89,31.657,428.16,0.67491,31.171,0.042185,vapor
503.86,3.75,28.431,0.035172,10.581,14.802,190.58,22.904,31.668,428.75,0.66821,31.235,0.042281,vapor
505.32,3.75,28.348,0.035276,10.615,14.848,190.67,22.918,31.679,429.33,0.66155,31.298,0.042377,vapor
506.77,3.75,28.265,0.03538,10.649,14.894,190.76,22.933,31.691,429.91,0.65494,31.361,0.042473,vapor
508.23,3.75,28.182,0.035484,10.683,14.94,190.85,22.947,31.702,430.5,0.64838,31.424,0.042569,vapor
509.69,3.75,28.1,0.035587,10.716,14.987,190.94,22.962,31.713,431.08,0.64187,31.487,0.042665,vapor
511.15,3.75,28.018,0.035691,10.75,15.033,191.04,22.976,31.725,431.66,0.6354,31.55,0.042761,vapor
512.61,3.75,27.937,0.035795,10.784,15.079,191.13,22.991,31.736,432.23,0.62899,31.612,0.042857,vapor
514.07,3.75,27.856,0.035899,10.818,15.126,191.22,23.005,31.748,432.81,0.62261,31.675,0.042953,vapor
515.53,3.75,27.776,0.036002,10.852,15.172,191.31,23.019,31.759,433.39,0.61629,31.738,0.043048,vapor
516.99,3.75,27.696,0.036106,10.886,15.218,191.4,23.034,31.771,433.96,0.61001,31.8,0.043144,vapor
518.45,3.75,27.617,0.036209,10.92,15.265,191.49,23.048,31.782,434.54,0.60377,31.863,0.043239,vapor
519.91,3.75,27.538,0.036313,10.954,15.311,191.57,23.063,31.794,435.11,0.59758,31.925,0.043335,vapor
521.37,3.75,27.46,0.036417,10.988,15.358,191.66,23.077,31.805,435.68,0.59143,31.987,0.04343,vapor
522.83,3.75,27.382,0.03652,11.022,15.404,191.75,23.091,31.817,436.26,0.58533,32.049,0.043525,vapor
524.29,3.75,27.305,0.036624,11.056,15.45,191.84,23.106,31.828,436.83,0.57927,32.111,0.043621,vapor
525.75,3.75,27.228,0.036727,11.09,15.497,191.93,23.12,31.84,437.4,0.57326,32.174,0.043716,vapor
527.21,3.75,27.151,0.036831,11.124,15.543,192.02,23.135,31.852,437.96,0.56728,32.236,0.043811,vapor
528.67,3.75,27.075,0.036934,11.158,15.59,192.11,23.149,31.864,438.53,0.56135,32.297,0.043906,vapor
530.12,3.75,26.999,0.037038,11.192,15.636,192.19,23.163,31.875,439.1,0.55546,32.359,0.044001,vapor
531.58,3.75,26.924,0.037141,11.226,15.683,192.28,23.178,31.887,439.66,0.54961,32.421,0.044096,vapor
533.04,3.75,26.849,0.037245,11.26,15.729,192.37,23.192,31.899,440.23,0.54381,32.483,0.044191,vapor
534.5,3.75,26.775,0.037348,11.294,15.776,192.46,23.207,31.911,440.79,0.53804,32.544,0.044286,vapor
535.96,3.75,26.701,0.037452,11.329,15.823,192.54,23.221,31.922,441.36,0.53231,32.606,0.04438,vapor
537.42,3.75,26.628,0.037555,11.363,15.869,192.63,23.235,31.934,441.92,0.52663,32.667,0.044475,vapor
538.88,3.75,26.554,0.037658,11.397,15.916,192.72,23.25,31.946,442.48,0.52098,32.729,0.04457,vapor
540.34,3.75,26.482,0.037762,11.431,15.962,192.8,23.264,31.958,443.04,0.51537,32.79,0.044664,vapor
541.8,3.75,26.409,0.037865,11.465,16.009,192.89,23.278,31.97,443.6,0.5098,32.851,0.044759,vapor
543.26,3.75,26.338,0.037969,11.5,16.056,192.98,23.293,31.982,444.16,0.50427,32.912,0.044853,vapor
544.72,3.75,26.266,0.038072,11.534,16.102,193.06,23.307,31.993,444.71,0.49878,32.973,0.044948,vapor
546.18,3.75,26.195,0.038175,11.568,16.149,193.15,23.321,32.005,445.27,0.49333,33.034,0.045042,vapor
547.64,3.75,26.124,0.038279,11.603,16.196,193.23,23.335,32.017,445.82,0.48791,33.095,0.045136,vapor
549.1,3.75,26.054,0.038382,11.637,16.243,193.32,23.35,32.029,446.38,0.48253,33.156,0.04523,vapor
550.56,3.75,25.984,0.038485,11.671,16.289,193.4,23.364,32.041,446.93,0.47719,33.217,0.045324,vapor
552.02,3.75,25.914,0.038588,11.706,16.336,193.49,23.378,32.053,447.49,0.47188,33.278,0.045418,vapor
553.48,3.75,25.845,0.038692,11.74,16.383,193.57,23.392,32.065,448.04,0.46661,33.338,0.045512,vapor
554.93,3.75,25.777,0.038795,11.774,16.43,193.66,23.407,32.077,448.59,0.46138,33.399,0.045606,vapor
556.39,3.75,25.708,0.038898,11.809,16.476,193.74,23.421,32.089,449.14,0.45618,33.46,0.0457,vapor
557.85,3.75,25.64,0.039001,11.843,16.523,193.82,23.435,32.101,449.69,0.45102,33.52,0.045794,vapor
559.31,3.75,25.572,0.039105,11.878,16.57,193.91,23.449,32.113,450.24,0.44589,33.58,0.045888,vapor
560.77,3.75,25.505,0.039208,11.912,16.617,193.99,23.463,32.125,450.78,0.44079,33.641,0.045981,vapor
562.23,3.75,25.438,0.039311,11.947,16.664,194.08,23.478,32.137,451.33,0.43574,33.701,0.046075,vapor
563.69,3.75,25.372,0.039414,11.981,16.711,194.16,23.492,32.149,451.88,0.43071,33.761,0.046169,vapor
565.15,3.75,25.305,0.039517,12.016,16.758,194.24,23.506,32.161,452.42,0.42572,33.821,0.046262,vapor
566.61,3.75,25.239,0.03962,12.05,16.805,194.33,23.52,32.173,452.97,0.42076,33.881,0.046356,vapor
568.07,3.75,25.174,0.039724,12.085,16.852,194.41,23.534,32.185,453.51,0.41583,33.941,0.046449,vapor
569.53,3.75,25.109,0.039827,12.12,16.899,194.49,23.548,32.197,454.05,0.41094,34.001,0.046542,vapor
570.99,3.75,25.044,0.03993,12.154,16.946,194.57,23.562,32.209,454.59,0.40608,34.061,0.046636,vapor
572.45,3.75,24.979,0.040033,12.189,16.993,194.66,23.576,32.221,455.13,0.40125,34.121,0.046729,vapor
573.91,3.75,24.915,0.040136,12.224,17.04,194.74,23.59,32.233,455.67,0.39646,34.18,0.046822,vapor
575.37,3.75,24.851,0.040239,12.258,17.087,194.82,23.604,32.245,456.21,0.39169,34.24,0.046915,vapor
576.83,3.75,24.788,0.040342,12.293,17.134,194.9,23.618,32.257,456.75,0.38696,34.3,0.047008,vapor
578.29,3.75,24.725,0.040445,12.328,17.181,194.98,23.632,32.269,457.29,0.38226,34.359,0.047101,vapor
579.74,3.75,24.662,0.040548,12.362,17.228,195.06,23.646,32.281,457.83,0.37759,34.418,0.047194,vapor
581.2,3.75,24.599,0.040651,12.397,17.275,195.14,23.66,32.293,458.36,0.37295,34.478,0.047287,vapor
582.66,3.75,24.537,0.040754,12.432,17.322,195.23,23.674,32.305,458.9,0.36834,34.537,0.04738,vapor
584.12,3.75,24.475,0.040857,12.467,17.369,195.31,23.688,32.317,459.43,0.36376,34.596,0.047472,vapor
585.58,3.75,24.414,0.04096,12.502,17.417,195.39,23.702,32.329,459.97,0.35921,34.656,0.047565,vapor
587.04,3.75,24.353,0.041063,12.536,17.464,195.47,23.716,32.341,460.5,0.35469,34.715,0.047658,vapor
588.5,3.75,24.292,0.041166,12.571,17.511,195.55,23.729,32.353,461.03,0.3502,34.774,0.04775,vapor
589.96,3.75,24.231,0.041269,12.606,17.558,195.63,23.743,32.364,461.56,0.34573,34.833,0.047843,vapor
591.42,3.75,24.171,0.041372,12.641,17.605,195.71,23.757,32.376,462.09,0.3413,34.892,0.047935,vapor
592.88,3.75,24.111,0.041475,12.676,17.653,195.79,23.771,32.388,462.62,0.3369,34.95,0.048028,vapor
594.34,3.75,24.051,0.041578,12.711,17.7,195.87,23.784,32.4,463.15,0.33252,35.009,0.04812,vapor
595.8,3.75,23.992,0.041681,12.746,17.747,195.95,23.798,32.412,463.68,0.32817,35.068,0.048212,vapor
597.26,3.75,23.933,0.041784,12.781,17.795,196.03,23.812,32.424,464.21,0.32385,35.127,0.048305,vapor
598.72,3.75,23.874,0.041887,12.816,17.842,196.11,23.826,32.436,464.74,0.31956,35.185,0.048397,vapor
600.18,3.75,23.815,0.04199,12.851,17.889,196.18,23.839,32.448,465.26,0.31529,35.244,0.048489,vapor
601.64,3.75,23.757,0.042092,12.886,17.937,196.26,23.853,32.46,465.79,0.31105,35.302,0.048581,vapor
603.09,3.75,23.699,0.042195,12.921,17.984,196.34,23.867,32.472,466.31,0.30684,35.36,0.048673,vapor
604.55,3.75,23.642,0.042298,12.956,18.031,196.42,23.88,32.484,466.84,0.30266,35.419,0.048765,vapor
606.01,3.75,23.584,0.042401,12.991,18.079,196.5,23.894,32.496,467.36,0.2985,35.477,0.048857,vapor
607.47,3.75,23.527,0.042504,13.026,18.126,196.58,23.907,32.508,467.89,0.29437,35.535,0.048949,vapor
608.93,3.75,23.47,0.042607,13.061,18.174,196.66,23.921,32.519,468.41,0.29026,35.593,0.04904,vapor
610.39,3.75,23.414,0.04271,13.096,18.221,196.73,23.934,32.531,468.93,0.28618,35.652,0.049132,vapor
611.85,3.75,23.358,0.042812,13.131,18.269,196.81,23.948,32.543,469.45,0.28213,35.71,0.049224,vapor
613.31,3.75,23.302,0.042915,13.167,18.316,196.89,23.961,32.555,469.97,0.2781,35.767,0.049315,vapor
614.77,3.75,23.246,0.043018,13.202,18.364,196.97,23.975,32.567,470.49,0.27409,35.825,0.049407,vapor
616.23,3.75,23.191,0.043121,13.237,18.411,197.04,23.988,32.579,471.01,0.27011,35.883,0.049499,vapor
617.69,3.75,23.136,0.043223,13.272,18.459,197.12,24.001,32.59,471.53,0.26616,35.941,0.04959,vapor
619.15,3.75,23.081,0.043326,13.307,18.506,197.2,24.015,32.602,472.04,0.26223,35.999,0.049681,vapor
620.61,3.75,23.026,0.043429,13.343,18.554,197.27,24.028,32.614,472.56,0.25832,36.056,0.049773,vapor
622.07,3.75,22.972,0.043532,13.378,18.602,197.35,24.041,32.626,473.07,0.25444,36.114,0.049864,vapor
623.53,3.75,22.918,0.043634,13.413,18.649,197.43,24.055,32.638,473.59,0.25059,36.172,0.049955,vapor
624.99,3.75,22.864,0.043737,13.449,18.697,197.5,24.068,32.649,474.1,0.24675,36.229,0.050046,vapor
626.45,3.75,22.81,0.04384,13.484,18.744,197.58,24.081,32.661,474.62,0.24294,36.286,0.050138,vapor
627.9,3.75,22.757,0.043943,13.519,18.792,197.66,24.094,32.673,475.13,0.23916,36.344,0.050229,vapor
629.36,3.75,22.704,0.044045,13.555,18.84,197.73,24.107,32.684,475.64,0.23539,36.401,0.05032,vapor
630.82,3.75,22.651,0.044148,13.59,18.888,197.81,24.121,32.696,476.16,0.23165,36.458,0.050411,vapor
632.28,3.75,22.599,0.044251,13.625,18.935,197.88,24.134,32.708,476.67,0.22793,36.515,0.050502,vapor
633.74,3.75,22.546,0.044353,13.661,18.983,197.96,24.147,32.719,477.18,0.22424,36.573,0.050592,vapor
635.2,3.75,22.494,0.044456,13.696,19.031,198.03,24.16,32.731,477.69,0.22057,36.63,0.050683,vapor
636.66,3.75,22.442,0.044559,13.732,19.079,198.11,24.173,32.743,478.2,0.21692,36.687,0.050774,vapor
638.12,3.75,22.391,0.044661,13.767,19.126,198.18,24.186,32.754,478.71,0.21329,36.744,0.050865,vapor
639.58,3.75,22.339,0.044764,13.803,19.174,198.26,24.199,32.766,479.21,0.20968,36.801,0.050955,vapor
641.04,3.75,22.288,0.044867,13.838,19.222,198.33,24.212,32.778,479.72,0.2061,36.857,0.051046,vapor
642.5,3.75,22.237,0.044969,13.874,19.27,198.41,24.225,32.789,480.23,0.20253,36.914,0.051136,vapor
643.96,3.75,22.187,0.045072,13.909,19.318,198.48,24.238,32.801,480.74,0.19899,36.971,0.051227,vapor
645.42,3.75,22.136,0.045174,13.945,19.366,198.56,24.251,32.812,481.24,0.19547,37.027,0.051317,vapor
646.88,3.75,22.086,0.045277,13.98,19.413,198.63,24.264,32.824,481.75,0.19197,37.084,0.051408,vapor
648.34,3.75,22.036,0.04538,14.016,19.461,198.7,24.276,32.835,482.25,0.18849,37.141,0.051498,vapor
649.8,3.75,21.987,0.045482,14.052,19.509,198.78,24.289,32.847,482.75,0.18504,37.197,0.051588,vapor
651.25,3.75,21.937,0.045585,14.087,19.557,198.85,24.302,32.858,483.26,0.1816,37.254,0.051679,vapor
652.71,3.75,21.888,0.045687,14.123,19.605,198.93,24.315,32.87,483.76,0.17818,37.31,0.051769,vapor
654.17,3.75,21.839,0.04579,14.159,19.653,199,24.327,32.881,484.26,0.17479,37.366,0.051859,vapor
655.63,3.75,21.79,0.045892,14.194,19.701,199.07,24.34,32.892,484.76,0.17141,37.423,0.051949,vapor
657.09,3.75,21.742,0.045995,14.23,19.749,199.15,24.353,32.904,485.26,0.16805,37.479,0.052039,vapor
658.55,3.75,21.693,0.046097,14.266,19.797,199.22,24.365,32.915,485.76,0.16472,37.535,0.052129,vapor
660.01,3.75,21.645,0.0462,14.301,19.845,199.29,24.378,32.927,486.26,0.1614,37.591,0.052219,vapor
661.47,3.75,21.597,0.046302,14.337,19.893,199.36,24.391,32.938,486.76,0.1581,37.647,0.052309,vapor
662.93,3.75,21.549,0.046405,14.373,19.941,199.44,24.403,32.949,487.26,0.15482,37.703,0.052399,vapor
664.39,3.75,21.502,0.046508,14.409,19.989,199.51,24.416,32.961,487.76,0.15156,37.759,0.052488,vapor
665.85,3.75,21.455,0.04661,14.445,20.038,199.58,24.428,32.972,488.26,0.14832,37.815,0.052578,vapor
667.31,3.75,21.408,0.046713,14.48,20.086,199.65,24.441,32.983,488.75,0.1451,37.871,0.052668,vapor
668.77,3.75,21.361,0.046815,14.516,20.134,199.73,24.453,32.994,489.25,0.1419,37.926,0.052758,vapor
670.23,3.75,21.314,0.046917,14.552,20.182,199.8,24.466,33.006,489.74,0.13871,37.982,0.052847,vapor
671.69,3.75,21.268,0.04702,14.588,20.23,199.87,24.478,33.017,490.24,0.13555,38.038,0.052937,vapor
673.15,3.75,21.221,0.047122,14.624,20.278,199.94,24.49,33.028,490.73,0.1324,38.093,0.053026,vapor
674.61,3.75,21.175,0.047225,14.66,20.327,200.01,24.503,33.039,491.23,0.12927,38.149,0.053116,vapor
676.06,3.75,21.129,0.047327,14.696,20.375,200.08,24.515,33.05,491.72,0.12616,38.204,0.053205,vapor
677.52,3.75,21.084,0.04743,14.732,20.423,200.16,24.527,33.061,492.21,0.12306,38.26,0.053294,vapor
678.98,3.75,21.038,0.047532,14.768,20.471,200.23,24.539,33.073,492.7,0.11999,38.315,0.053384,vapor
680.44,3.75,20.993,0.047635,14.804,20.52,200.3,24.552,33.084,493.2,0.11693,38.371,0.053473,vapor
681.9,3.75,20.948,0.047737,14.84,20.568,200.37,24.564,33.095,493.69,0.11389,38.426,0.053562,vapor
683.36,3.75,20.903,0.047839,14.876,20.616,200.44,24.576,33.106,494.18,0.11086,38.481,0.053651,vapor
684.82,3.75,20.859,0.047942,14.912,20.664,200.51,24.588,33.117,494.67,0.10786,38.536,0.05374,vapor
686.28,3.75,20.814,0.048044,14.948,20.713,200.58,24.6,33.128,495.16,0.10487,38.592,0.053829,vapor
687.74,3.75,20.77,0.048147,14.984,20.761,200.65,24.612,33.139,495.65,0.10189,38.647,0.053918,vapor
689.2,3.75,20.726,0.048249,15.02,20.81,200.72,24.624,33.15,496.13,0.098937,38.702,0.054007,vapor
690.66,3.75,20.682,0.048351,15.056,20.858,200.79,24.636,33.161,496.62,0.095997,38.757,0.054096,vapor
692.12,3.75,20.638,0.048454,15.092,20.906,200.86,24.648,33.172,497.11,0.093074,38.812,0.054185,vapor
693.58,3.75,20.595,0.048556,15.128,20.955,200.93,24.66,33.182,497.6,0.090168,38.866,0.054274,vapor
695.04,3.75,20.551,0.048659,15.164,21.003,201,24.672,33.193,498.08,0.087278,38.921,0.054362,vapor
696.5,3.75,20.508,0.048761,15.201,21.052,201.07,24.684,33.204,498.57,0.084403,38.976,0.054451,vapor
697.96,3.75,20.465,0.048863,15.237,21.1,201.14,24.696,33.215,499.05,0.081545,39.031,0.05454,vapor
699.42,3.75,20.423,0.048966,15.273,21.149,201.21,24.708,33.226,499.54,0.078703,39.085,0.054628,vapor
700.87,3.75,20.38,0.049068,15.309,21.197,201.28,24.72,33.237,500.02,0.075877,39.14,0.054717,vapor
702.33,3.75,20.338,0.04917,15.345,21.246,201.35,24.731,33.247,500.5,0.073066,39.195,0.054806,vapor
703.79,3.75,20.295,0.049273,15.382,21.294,201.42,24.743,33.258,500.99,0.070271,39.249,0.054894,vapor
705.25,3.75,20.253,0.049375,15.418,21.343,201.49,24.755,33.269,501.47,0.067491,39.304,0.054982,vapor
706.71,3.75,20.211,0.049477,15.454,21.391,201.55,24.767,33.28,501.95,0.064727,39.358,0.055071,vapor
708.17,3.75,20.17,0.04958,15.491,21.44,201.62,24.778,33.29,502.43,0.061977,39.412,0.055159,vapor
709.63,3.75,20.128,0.049682,15.527,21.488,201.69,24.79,33.301,502.91,0.059243,39.467,0.055247,vapor
711.09,3.75,20.087,0.049784,15.563,21.537,201.76,24.802,33.312,503.39,0.056524,39.521,0.055336,vapor
712.55,3.75,20.046,0.049886,15.599,21.586,201.83,24.813,33.322,503.87,0.05382,39.575,0.055424,vapor
714.01,3.75,20.005,0.049989,15.636,21.634,201.9,24.825,33.333,504.35,0.05113,39.629,0.055512,vapor
715.47,3.75,19.964,0.050091,15.672,21.683,201.96,24.836,33.343,504.83,0.048456,39.683,0.0556,vapor
716.93,3.75,19.923,0.050193,15.709,21.732,202.03,24.848,33.354,505.31,0.045795,39.738,0.055688,vapor
718.39,3.75,19.882,0.050296,15.745,21.78,202.1,24.859,33.364,505.79,0.043149,39.792,0.055776,vapor
719.85,3.75,19.842,0.050398,15.781,21.829,202.17,24.871,33.375,506.27,0.040518,39.846,0.055864,vapor
721.31,3.75,19.802,0.0505,15.818,21.878,202.24,24.882,33.385,506.74,0.0379,39.9,0.055952,vapor
722.77,3.75,19.762,0.050602,15.854,21.926,202.3,24.893,33.396,507.22,0.035297,39.953,0.05604,vapor
724.22,3.75,19.722,0.050705,15.891,21.975,202.37,24.905,33.406,507.69,0.032708,40.007,0.056128,vapor
725.68,3.75,19.682,0.050807,15.927,22.024,202.44,24.916,33.417,508.17,0.030133,40.061,0.056216,vapor
727.14,3.75,19.643,0.050909,15.964,22.073,202.5,24.927,33.427,508.65,0.027571,40.115,0.056303,vapor
728.6,3.75,19.604,0.051011,16,22.122,202.57,24.939,33.437,509.12,0.025024,40.168,0.056391,vapor
730.06,3.75,19.564,0.051113,16.037,22.17,202.64,24.95,33.448,509.59,0.022489,40.222,0.056479,vapor
731.52,3.75,19.525,0.051216,16.073,22.219,202.71,24.961,33.458,510.07,0.019969,40.276,0.056566,vapor
732.98,3.75,19.486,0.051318,16.11,22.268,202.77,24.972,33.468,510.54,0.017462,40.329,0.056654,vapor
734.44,3.75,19.448,0.05142,16.147,22.317,202.84,24.983,33.479,511.01,0.014968,40.383,0.056741,vapor
735.9,3.75,19.409,0.051522,16.183,22.366,202.91,24.994,33.489,511.48,0.012487,40.436,0.056829,vapor
737.36,3.75,19.371,0.051625,16.22,22.415,202.97,25.005,33.499,511.96,0.01002,40.49,0.056916,vapor
738.82,3.75,19.332,0.051727,16.256,22.463,203.04,25.017,33.509,512.43,0.007565,40.543,0.057004,vapor
740.28,3.75,19.294,0.051829,16.293,22.512,203.1,25.028,33.52,512.9,0.0051235,40.596,0.057091,vapor
741.74,3.75,19.256,0.051931,16.33,22.561,203.17,25.039,33.53,513.37,0.0026948,40.65,0.057178,vapor
743.2,3.75,19.218,0.052033,16.366,22.61,203.24,25.05,33.54,513.84,0.00027881,40.703,0.057266,vapor
744.66,3.75,19.181,0.052135,16.403,22.659,203.3,25.06,33.55,514.31,-0.0021245,40.756,0.057353,vapor
746.12,3.75,19.143,0.052238,16.44,22.708,203.37,25.071,33.56,514.78,-0.0045152,40.809,0.05744,vapor
