Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
122.95,10,998.68,0.0010013,-2.634,-2.3136,109.82,27.204,56.789,703.99,-0.1738,106.09,0.11413,liquid
124.41,10,990.41,0.0010097,-2.5535,-2.2304,110.49,27.1,57.14,692.53,-0.16025,103.11,0.11219,liquid
125.87,10,982.03,0.0010183,-2.4726,-2.1468,111.16,26.999,57.516,680.99,-0.14584,100.22,0.11025,liquid
127.33,10,973.5,0.0010272,-2.3912,-2.0625,111.83,26.902,57.917,669.38,-0.13049,97.407,0.10831,liquid
128.79,10,964.84,0.0010364,-2.3093,-1.9777,112.49,26.808,58.347,657.68,-0.11412,94.666,0.10638,liquid
130.25,10,956.02,0.001046,-2.2269,-1.8922,113.15,26.717,58.807,645.89,-0.096648,91.996,0.10445,liquid
131.71,10,947.05,0.0010559,-2.1439,-1.806,113.81,26.63,59.301,634.01,-0.077974,89.392,0.10252,liquid
133.17,10,937.9,0.0010662,-2.0603,-1.7191,114.46,26.546,59.832,622.03,-0.057991,86.851,0.1006,liquid
134.63,10,928.58,0.0010769,-1.976,-1.6314,115.12,26.467,60.402,609.94,-0.03658,84.369,0.098691,liquid
136.09,10,919.06,0.0010881,-1.891,-1.5428,115.77,26.391,61.017,597.75,-0.013603,81.944,0.096783,liquid
137.55,10,909.33,0.0010997,-1.8051,-1.4533,116.43,26.32,61.68,585.44,0.011093,79.572,0.09488,liquid
139.01,10,899.38,0.0011119,-1.7185,-1.3627,117.08,26.253,62.397,573.02,0.037681,77.25,0.092985,liquid
140.47,10,889.19,0.0011246,-1.631,-1.2711,117.74,26.192,63.174,560.46,0.06636,74.977,0.091096,liquid
141.92,10,878.75,0.001138,-1.5424,-1.1783,118.4,26.135,64.017,547.78,0.097352,72.75,0.089214,liquid
143.38,10,868.02,0.001152,-1.4529,-1.0842,119.06,26.084,64.935,534.96,0.13091,70.565,0.087339,liquid
144.84,10,856.99,0.0011669,-1.3621,-0.98873,119.72,26.039,65.937,522.01,0.16734,68.421,0.085472,liquid
146.3,10,845.64,0.0011825,-1.2701,-0.89171,120.38,26,67.032,508.9,0.20696,66.315,0.083613,liquid
147.76,10,833.93,0.0011991,-1.1767,-0.79302,121.06,25.967,68.234,495.65,0.25016,64.246,0.081761,liquid
149.22,10,821.83,0.0012168,-1.0819,-0.69249,121.73,25.942,69.556,482.25,0.29738,62.209,0.079918,liquid
150.68,10,809.3,0.0012356,-0.98532,-0.58994,122.42,25.925,71.015,468.71,0.34914,60.203,0.078082,liquid
152.14,10,796.3,0.0012558,-0.88698,-0.48514,123.11,25.917,72.63,455.02,0.40601,58.226,0.076254,liquid
153.6,10,782.8,0.0012775,-0.78663,-0.37786,123.81,25.917,74.423,441.21,0.46867,56.275,0.074433,liquid
155.06,10,768.72,0.0013009,-0.68408,-0.26781,124.52,25.928,76.42,427.27,0.5379,54.347,0.072619,supercritical
156.52,10,754.01,0.0013262,-0.57907,-0.15469,125.25,25.948,78.649,413.25,0.61458,52.44,0.070811,supercritical
157.98,10,738.62,0.0013539,-0.47135,-0.038126,125.99,25.978,81.141,399.17,0.69973,50.55,0.069009,supercritical
159.44,10,722.46,0.0013842,-0.36063,0.082289,126.75,26.019,83.931,385.07,0.79445,48.676,0.06721,supercritical
160.9,10,705.46,0.0014175,-0.24658,0.20701,127.53,26.069,87.046,371.03,0.89997,46.814,0.065414,supercritical
162.36,10,687.53,0.0014545,-0.12889,0.33653,128.33,26.128,90.507,357.11,1.0175,44.964,0.063619,supercritical
163.82,10,668.62,0.0014956,-0.0072362,0.47135,129.16,26.193,94.308,343.42,1.1483,43.123,0.061822,supercritical
165.28,10,648.65,0.0015417,0.11862,0.61194,130.01,26.263,98.403,330.09,1.2932,41.293,0.060022,supercritical
166.73,10,627.61,0.0015933,0.24881,0.75866,130.89,26.333,102.68,317.29,1.4526,39.477,0.058215,supercritical
168.19,10,605.55,0.0016514,0.38321,0.91164,131.81,26.399,106.95,305.19,1.6263,37.683,0.056399,supercritical
169.65,10,582.58,0.0017165,0.5214,1.0707,132.75,26.456,110.92,293.99,1.8128,35.923,0.054574,supercritical
171.11,10,558.93,0.0017891,0.66256,1.2351,133.71,26.496,114.24,283.89,2.0096,34.213,0.052741,supercritical
172.57,10,534.94,0.0018694,0.80543,1.4036,134.69,26.514,116.52,275.05,2.2127,32.574,0.050906,supercritical
174.03,10,511.04,0.0019568,0.94834,1.5745,135.68,26.502,117.41,267.59,2.4164,31.03,0.049083,supercritical
175.49,10,487.69,0.0020505,1.0894,1.7455,136.66,26.456,116.69,261.53,2.6141,29.603,0.047291,supercritical
176.95,10,465.35,0.0021489,1.2267,1.9143,137.62,26.376,114.4,256.85,2.7993,28.31,0.045557,supercritical
178.41,10,444.36,0.0022504,1.3587,2.0788,138.54,26.264,110.82,253.4,2.9669,27.159,0.043909,supercritical
179.87,10,424.93,0.0023533,1.4843,2.2374,139.43,26.127,106.39,251.03,3.114,26.152,0.042371,supercritical
181.33,10,407.13,0.0024562,1.6032,2.3891,140.27,25.972,101.56,249.52,3.24,25.279,0.040959,supercritical
182.79,10,390.91,0.0025581,1.7152,2.5338,141.06,25.806,96.68,248.71,3.3458,24.528,0.039679,supercritical
184.25,10,376.18,0.0026583,1.8208,2.6714,141.81,25.635,91.968,248.44,3.4331,23.884,0.038528,supercritical
185.71,10,362.79,0.0027564,1.9203,2.8024,142.52,25.461,87.553,248.58,3.5039,23.333,0.037499,supercritical
187.17,10,350.6,0.0028523,2.0144,2.9271,143.19,25.289,83.487,249.03,3.5604,22.861,0.036581,supercritical
188.63,10,339.47,0.0029458,2.1036,3.0462,143.82,25.121,79.78,249.73,3.6043,22.457,0.035763,supercritical
190.09,10,329.28,0.0030369,2.1884,3.1602,144.43,24.958,76.42,250.61,3.6376,22.11,0.035035,supercritical
191.54,10,319.91,0.0031258,2.2692,3.2694,145,24.801,73.381,251.63,3.6616,21.811,0.034385,supercritical
193,10,311.28,0.0032126,2.3465,3.3745,145.55,24.65,70.633,252.76,3.6778,21.555,0.033805,supercritical
194.46,10,303.28,0.0032972,2.4207,3.4757,146.07,24.506,68.147,253.97,3.6871,21.334,0.033287,supercritical
195.92,10,295.86,0.00338,2.492,3.5735,146.57,24.369,65.893,255.24,3.6907,21.144,0.032823,supercritical
197.38,10,288.95,0.0034608,2.5607,3.6682,147.05,24.238,63.847,256.55,3.6893,20.981,0.032408,supercritical
198.84,10,282.48,0.00354,2.6272,3.76,147.51,24.114,61.983,257.91,3.6836,20.84,0.032035,supercritical
200.3,10,276.43,0.0036176,2.6916,3.8492,147.96,23.996,60.282,259.28,3.6743,20.721,0.031701,supercritical
201.76,10,270.74,0.0036936,2.7541,3.936,148.39,23.884,58.726,260.68,3.6618,20.619,0.0314,supercritical
203.22,10,265.37,0.0037683,2.8148,4.0206,148.81,23.778,57.298,262.09,3.6466,20.532,0.03113,supercritical
204.68,10,260.31,0.0038416,2.874,4.1033,149.22,23.677,55.984,263.5,3.6292,20.459,0.030887,supercritical
206.14,10,255.52,0.0039136,2.9318,4.1841,149.61,23.581,54.773,264.92,3.6098,20.399,0.030669,supercritical
207.6,10,250.97,0.0039845,2.9882,4.2632,149.99,23.491,53.653,266.33,3.5887,20.35,0.030473,supercritical
209.06,10,246.65,0.0040543,3.0434,4.3407,150.36,23.405,52.616,267.75,3.5662,20.31,0.030298,supercritical
210.52,10,242.54,0.004123,3.0975,4.4168,150.73,23.323,51.653,269.16,3.5424,20.279,0.03014,supercritical
211.98,10,238.62,0.0041907,3.1505,4.4915,151.08,23.246,50.757,270.57,3.5177,20.256,0.029999,supercritical
213.44,10,234.88,0.0042575,3.2026,4.565,151.43,23.172,49.921,271.97,3.4921,20.24,0.029874,supercritical
214.89,10,231.3,0.0043235,3.2538,4.6373,151.76,23.103,49.14,273.36,3.4657,20.231,0.029762,supercritical
216.35,10,227.86,0.0043886,3.3041,4.7084,152.09,23.036,48.41,274.74,3.4388,20.227,0.029662,supercritical
217.81,10,224.57,0.0044529,3.3537,4.7786,152.42,22.973,47.725,276.12,3.4114,20.229,0.029575,supercritical
219.27,10,221.41,0.0045164,3.4025,4.8478,152.73,22.913,47.081,277.48,3.3836,20.235,0.029498,supercritical
220.73,10,218.37,0.0045793,3.4507,4.916,153.04,22.856,46.476,278.84,3.3555,20.246,0.029431,supercritical
222.19,10,215.45,0.0046415,3.4982,4.9834,153.35,22.802,45.906,280.18,3.3271,20.261,0.029373,supercritical
223.65,10,212.63,0.004703,3.5451,5.05,153.65,22.75,45.368,281.52,3.2986,20.28,0.029323,supercritical
225.11,10,209.91,0.0047639,3.5915,5.1159,153.94,22.701,44.86,282.84,3.27,20.302,0.029282,supercritical
226.57,10,207.29,0.0048242,3.6373,5.181,154.23,22.654,44.379,284.16,3.2413,20.327,0.029247,supercritical
228.03,10,204.75,0.0048839,3.6826,5.2454,154.51,22.61,43.924,285.46,3.2126,20.355,0.02922,supercritical
229.49,10,202.3,0.0049432,3.7274,5.3092,154.79,22.567,43.492,286.76,3.1839,20.386,0.029198,supercritical
230.95,10,199.93,0.0050019,3.7718,5.3724,155.06,22.526,43.082,288.04,3.1553,20.42,0.029183,supercritical
232.41,10,197.63,0.0050601,3.8158,5.435,155.33,22.488,42.693,289.31,3.1267,20.455,0.029172,supercritical
233.87,10,195.4,0.0051178,3.8593,5.497,155.6,22.451,42.322,290.58,3.0982,20.493,0.029167,supercritical
235.33,10,193.23,0.0051751,3.9025,5.5585,155.86,22.415,41.969,291.83,3.0699,20.533,0.029167,supercritical
236.79,10,191.13,0.0052319,3.9453,5.6195,156.12,22.382,41.632,293.07,3.0417,20.574,0.029171,supercritical
238.25,10,189.09,0.0052884,3.9878,5.68,156.38,22.349,41.311,294.31,3.0136,20.617,0.02918,supercritical
239.7,10,187.11,0.0053444,4.0299,5.7401,156.63,22.319,41.004,295.53,2.9858,20.662,0.029192,supercritical
241.16,10,185.18,0.0054,4.0718,5.7997,156.88,22.289,40.71,296.75,2.9581,20.708,0.029208,supercritical
242.62,10,183.31,0.0054553,4.1133,5.8589,157.12,22.261,40.43,297.95,2.9306,20.756,0.029227,supercritical
244.08,10,181.48,0.0055102,4.1545,5.9177,157.36,22.235,40.161,299.15,2.9033,20.805,0.02925,supercritical
245.54,10,179.7,0.0055648,4.1955,5.9761,157.6,22.209,39.903,300.33,2.8763,20.855,0.029276,supercritical
247,10,177.97,0.005619,4.2362,6.0342,157.84,22.185,39.656,301.51,2.8494,20.906,0.029305,supercritical
248.46,10,176.28,0.0056729,4.2766,6.0919,158.07,22.161,39.42,302.68,2.8228,20.958,0.029336,supercritical
249.92,10,174.63,0.0057265,4.3168,6.1492,158.3,22.139,39.192,303.84,2.7965,21.012,0.029371,supercritical
251.38,10,173.02,0.0057798,4.3568,6.2063,158.53,22.118,38.974,304.99,2.7703,21.066,0.029407,supercritical
252.84,10,171.44,0.0058328,4.3966,6.263,158.75,22.097,38.763,306.14,2.7444,21.121,0.029446,supercritical
254.3,10,169.91,0.0058855,4.4361,6.3194,158.97,22.078,38.561,307.27,2.7188,21.177,0.029487,supercritical
255.76,10,168.41,0.005938,4.4755,6.3756,159.19,22.059,38.367,308.4,2.6933,21.233,0.029531,supercritical
257.22,10,166.94,0.0059901,4.5146,6.4314,159.41,22.042,38.179,309.52,2.6682,21.291,0.029576,supercritical
258.68,10,165.51,0.0060421,4.5536,6.487,159.63,22.025,37.999,310.63,2.6432,21.349,0.029623,supercritical
260.14,10,164.1,0.0060937,4.5924,6.5423,159.84,22.009,37.825,311.74,2.6185,21.408,0.029672,supercritical
261.6,10,162.73,0.0061452,4.631,6.5974,160.05,21.993,37.657,312.83,2.5941,21.467,0.029723,supercritical
263.05,10,161.39,0.0061964,4.6695,6.6522,160.26,21.979,37.495,313.92,2.5699,21.527,0.029775,supercritical
264.51,10,160.07,0.0062473,4.7078,6.7069,160.47,21.965,37.339,315,2.5459,21.587,0.029829,supercritical
265.97,10,158.78,0.0062981,4.7459,6.7612,160.67,21.952,37.188,316.08,2.5222,21.648,0.029885,supercritical
267.43,10,157.51,0.0063486,4.7839,6.8154,160.88,21.939,37.042,317.15,2.4987,21.709,0.029941,supercritical
268.89,10,156.28,0.0063989,4.8218,6.8694,161.08,21.927,36.901,318.21,2.4755,21.771,0.03,supercritical
270.35,10,155.06,0.0064491,4.8595,6.9231,161.28,21.916,36.764,319.26,2.4525,21.833,0.030059,supercritical
271.81,10,153.87,0.006499,4.8971,6.9767,161.47,21.905,36.633,320.31,2.4297,21.895,0.03012,supercritical
273.27,10,152.7,0.0065487,4.9345,7.03,161.67,21.895,36.505,321.35,2.4072,21.958,0.030181,supercritical
274.73,10,151.55,0.0065983,4.9718,7.0832,161.86,21.885,36.381,322.38,2.3849,22.021,0.030244,supercritical
276.19,10,150.43,0.0066476,5.0091,7.1362,162.06,21.876,36.262,323.41,2.3628,22.085,0.030308,supercritical
277.65,10,149.32,0.0066968,5.0462,7.1891,162.25,21.867,36.146,324.43,2.341,22.149,0.030373,supercritical
279.11,10,148.24,0.0067458,5.0831,7.2417,162.44,21.859,36.034,325.45,2.3194,22.213,0.030439,supercritical
