Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
206.77	20.265	16.99	0.058858	50.808	88.083	4.3427	0.75686	1.9531	365.41	1.1173	35.523	0.051819	supercritical
210.01	20.265	16.421	0.060899	55.8	94.368	4.3729	0.75353	1.9225	360.65	1.1825	34.477	0.050456	supercritical
213.25	20.265	15.878	0.062981	60.661	100.55	4.4021	0.75014	1.8884	356.75	1.2416	33.537	0.049196	supercritical
216.5	20.265	15.363	0.065093	65.388	106.61	4.4303	0.74673	1.8518	353.63	1.2942	32.697	0.048036	supercritical
219.74	20.265	14.875	0.067225	69.981	112.56	4.4576	0.74334	1.8137	351.2	1.3402	31.947	0.046971	supercritical
222.98	20.265	14.415	0.06937	74.441	118.37	4.4839	0.74002	1.775	349.37	1.3797	31.28	0.045997	supercritical
226.23	20.265	13.982	0.07152	78.773	124.07	4.5092	0.73678	1.7366	348.05	1.4129	30.689	0.04511	supercritical
229.47	20.265	13.574	0.07367	82.982	129.64	4.5337	0.73366	1.699	347.19	1.4403	30.167	0.044304	supercritical
232.71	20.265	13.19	0.075814	87.074	135.09	4.5572	0.73068	1.6626	346.71	1.4622	29.707	0.043575	supercritical
235.95	20.265	12.829	0.077949	91.056	140.42	4.58	0.72783	1.6276	346.55	1.4791	29.303	0.042915	supercritical
239.2	20.265	12.489	0.080073	94.934	145.64	4.602	0.72513	1.5943	346.68	1.4915	28.95	0.042321	supercritical
242.44	20.265	12.168	0.082183	98.717	150.76	4.6232	0.72259	1.5628	347.04	1.4998	28.641	0.041787	supercritical
245.68	20.265	11.866	0.084277	102.41	155.78	4.6438	0.72019	1.533	347.61	1.5044	28.372	0.041309	supercritical
248.92	20.265	11.58	0.086355	106.02	160.71	4.6637	0.71794	1.505	348.34	1.5058	28.14	0.04088	supercritical
252.17	20.265	11.31	0.088416	109.55	165.54	4.683	0.71584	1.4787	349.23	1.5043	27.941	0.040498	supercritical
255.41	20.265	11.055	0.09046	113.01	170.3	4.7018	0.71387	1.454	350.24	1.5003	27.771	0.040158	supercritical
