Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
715.88	20.265	3.2112	0.31141	481.01	678.22	5.8617	0.7808	1.07	536.55	-0.066245	41.68	0.058646	supercritical
719.12	20.265	3.1968	0.31281	483.59	681.69	5.8666	0.78155	1.0704	537.58	-0.070695	41.793	0.058827	supercritical
722.36	20.265	3.1826	0.31421	486.18	685.17	5.8714	0.7823	1.0709	538.61	-0.075098	41.905	0.059008	supercritical
725.61	20.265	3.1685	0.31561	488.76	688.64	5.8762	0.78304	1.0713	539.63	-0.079454	42.017	0.059188	supercritical
728.85	20.265	3.1545	0.31701	491.35	692.11	5.881	0.78378	1.0718	540.66	-0.083764	42.129	0.059369	supercritical
732.09	20.265	3.1407	0.3184	493.94	695.59	5.8857	0.78451	1.0722	541.68	-0.088029	42.24	0.05955	supercritical
735.33	20.265	3.127	0.3198	496.54	699.07	5.8905	0.78525	1.0727	542.69	-0.092249	42.352	0.059731	supercritical
738.58	20.265	3.1134	0.32119	499.13	702.55	5.8952	0.78597	1.0731	543.71	-0.096424	42.463	0.059911	supercritical
741.82	20.265	3.0999	0.32259	501.73	706.03	5.8999	0.7867	1.0736	544.72	-0.10056	42.574	0.060092	supercritical
745.06	20.265	3.0866	0.32399	504.33	709.51	5.9046	0.78742	1.074	545.73	-0.10465	42.685	0.060272	supercritical
748.31	20.265	3.0733	0.32538	506.93	712.99	5.9092	0.78813	1.0745	546.74	-0.10869	42.796	0.060453	supercritical
751.55	20.265	3.0602	0.32677	509.53	716.48	5.9139	0.78884	1.0749	547.75	-0.1127	42.907	0.060633	supercritical
754.79	20.265	3.0472	0.32817	512.14	719.96	5.9185	0.78955	1.0754	548.75	-0.11666	43.018	0.060813	supercritical
758.03	20.265	3.0344	0.32956	514.74	723.45	5.9231	0.79025	1.0758	549.76	-0.12059	43.128	0.060993	supercritical
761.28	20.265	3.0216	0.33095	517.35	726.94	5.9277	0.79095	1.0762	550.76	-0.12447	43.238	0.061173	supercritical
764.52	20.265	3.009	0.33234	519.96	730.43	5.9323	0.79165	1.0767	551.75	-0.12832	43.348	0.061353	supercritical
767.76	20.265	2.9964	0.33373	522.57	733.92	5.9369	0.79234	1.0771	552.75	-0.13212	43.458	0.061533	supercritical
771	20.265	2.984	0.33512	525.18	737.42	5.9414	0.79303	1.0776	553.74	-0.13589	43.568	0.061713	supercritical
774.25	20.265	2.9717	0.33651	527.8	740.91	5.9459	0.79372	1.078	554.74	-0.13962	43.677	0.061893	supercritical
777.49	20.265	2.9595	0.3379	530.42	744.41	5.9504	0.7944	1.0785	555.72	-0.14331	43.787	0.062072	supercritical
780.73	20.265	2.9473	0.33929	533.03	747.91	5.9549	0.79507	1.0789	556.71	-0.14697	43.896	0.062252	supercritical
783.98	20.265	2.9353	0.34068	535.65	751.41	5.9594	0.79575	1.0794	557.7	-0.15059	44.005	0.062431	supercritical
787.22	20.265	2.9234	0.34206	538.28	754.91	5.9638	0.79642	1.0798	558.68	-0.15417	44.114	0.062611	supercritical
790.46	20.265	2.9116	0.34345	540.9	758.41	5.9683	0.79708	1.0803	559.66	-0.15772	44.223	0.06279	supercritical
793.7	20.265	2.8999	0.34484	543.53	761.91	5.9727	0.79774	1.0807	560.64	-0.16124	44.332	0.062969	supercritical
796.95	20.265	2.8883	0.34622	546.15	765.42	5.9771	0.7984	1.0811	561.62	-0.16472	44.44	0.063148	supercritical
800.19	20.265	2.8768	0.34761	548.78	768.93	5.9815	0.79906	1.0816	562.59	-0.16816	44.548	0.063327	supercritical
803.43	20.265	2.8654	0.34899	551.41	772.43	5.9859	0.79971	1.082	563.57	-0.17158	44.657	0.063506	supercritical
806.67	20.265	2.8541	0.35038	554.05	775.94	5.9902	0.80035	1.0825	564.54	-0.17496	44.765	0.063685	supercritical
809.92	20.265	2.8428	0.35176	556.68	779.45	5.9946	0.801	1.0829	565.51	-0.1783	44.872	0.063864	supercritical
813.16	20.265	2.8317	0.35314	559.32	782.97	5.9989	0.80164	1.0833	566.48	-0.18162	44.98	0.064042	supercritical
816.4	20.265	2.8207	0.35453	561.96	786.48	6.0032	0.80227	1.0838	567.44	-0.1849	45.088	0.064221	supercritical
819.65	20.265	2.8097	0.35591	564.6	789.99	6.0075	0.8029	1.0842	568.41	-0.18815	45.195	0.064399	supercritical
822.89	20.265	2.7988	0.35729	567.24	793.51	6.0118	0.80353	1.0846	569.37	-0.19137	45.302	0.064577	supercritical
826.13	20.265	2.7881	0.35867	569.88	797.03	6.0161	0.80416	1.0851	570.33	-0.19457	45.41	0.064756	supercritical
829.37	20.265	2.7774	0.36005	572.52	800.55	6.0203	0.80478	1.0855	571.29	-0.19773	45.516	0.064934	supercritical
832.62	20.265	2.7667	0.36144	575.17	804.07	6.0246	0.80539	1.0859	572.24	-0.20086	45.623	0.065112	supercritical
835.86	20.265	2.7562	0.36282	577.82	807.59	6.0288	0.80601	1.0864	573.2	-0.20396	45.73	0.06529	supercritical
839.1	20.265	2.7458	0.3642	580.47	811.11	6.033	0.80662	1.0868	574.15	-0.20703	45.837	0.065468	supercritical
842.34	20.265	2.7354	0.36557	583.12	814.64	6.0372	0.80722	1.0872	575.1	-0.21008	45.943	0.065645	supercritical
845.59	20.265	2.7251	0.36695	585.77	818.17	6.0414	0.80783	1.0876	576.05	-0.2131	46.049	0.065823	supercritical
848.83	20.265	2.7149	0.36833	588.43	821.69	6.0455	0.80843	1.0881	577	-0.21608	46.155	0.066001	supercritical
852.07	20.265	2.7048	0.36971	591.08	825.22	6.0497	0.80902	1.0885	577.94	-0.21905	46.261	0.066178	supercritical
855.32	20.265	2.6948	0.37109	593.74	828.75	6.0538	0.80961	1.0889	578.89	-0.22198	46.367	0.066356	supercritical
858.56	20.265	2.6848	0.37247	596.4	832.28	6.0579	0.8102	1.0893	579.83	-0.22489	46.473	0.066533	supercritical
861.8	20.265	2.6749	0.37384	599.06	835.82	6.062	0.81079	1.0897	580.77	-0.22777	46.578	0.06671	supercritical
865.04	20.265	2.6651	0.37522	601.72	839.35	6.0661	0.81137	1.0902	581.71	-0.23062	46.684	0.066887	supercritical
868.29	20.265	2.6554	0.3766	604.39	842.89	6.0702	0.81195	1.0906	582.64	-0.23345	46.789	0.067064	supercritical
871.53	20.265	2.6457	0.37797	607.05	846.42	6.0743	0.81252	1.091	583.58	-0.23626	46.894	0.067241	supercritical
874.77	20.265	2.6361	0.37935	609.72	849.96	6.0783	0.81309	1.0914	584.51	-0.23904	46.999	0.067418	supercritical
878.01	20.265	2.6266	0.38072	612.39	853.5	6.0824	0.81366	1.0918	585.44	-0.24179	47.104	0.067595	supercritical
881.26	20.265	2.6171	0.3821	615.06	857.04	6.0864	0.81423	1.0922	586.37	-0.24452	47.208	0.067771	supercritical
884.5	20.265	2.6078	0.38347	617.73	860.59	6.0904	0.81479	1.0926	587.3	-0.24723	47.313	0.067948	supercritical
887.74	20.265	2.5985	0.38484	620.41	864.13	6.0944	0.81535	1.093	588.23	-0.24991	47.417	0.068124	supercritical
890.99	20.265	2.5892	0.38622	623.08	867.67	6.0984	0.8159	1.0934	589.16	-0.25257	47.522	0.068301	supercritical
894.23	20.265	2.58	0.38759	625.76	871.22	6.1024	0.81645	1.0938	590.08	-0.2552	47.626	0.068477	supercritical
897.47	20.265	2.5709	0.38896	628.44	874.77	6.1063	0.817	1.0943	591	-0.25782	47.73	0.068653	supercritical
900.71	20.265	2.5619	0.39034	631.12	878.32	6.1103	0.81755	1.0947	591.92	-0.2604	47.834	0.068829	supercritical
903.96	20.265	2.5529	0.39171	633.8	881.87	6.1142	0.81809	1.0951	592.84	-0.26297	47.937	0.069005	supercritical
907.2	20.265	2.544	0.39308	636.48	885.42	6.1181	0.81863	1.0954	593.76	-0.26552	48.041	0.069181	supercritical
910.44	20.265	2.5352	0.39445	639.16	888.97	6.122	0.81917	1.0958	594.67	-0.26804	48.145	0.069357	supercritical
913.68	20.265	2.5264	0.39582	641.85	892.53	6.1259	0.8197	1.0962	595.59	-0.27054	48.248	0.069532	supercritical
916.93	20.265	2.5177	0.3972	644.54	896.08	6.1298	0.82023	1.0966	596.5	-0.27302	48.351	0.069708	supercritical
920.17	20.265	2.509	0.39857	647.23	899.64	6.1337	0.82075	1.097	597.41	-0.27548	48.454	0.069883	supercritical
923.41	20.265	2.5004	0.39994	649.92	903.2	6.1376	0.82128	1.0974	598.32	-0.27792	48.557	0.070059	supercritical
926.66	20.265	2.4919	0.40131	652.61	906.76	6.1414	0.8218	1.0978	599.23	-0.28033	48.66	0.070234	supercritical
929.9	20.265	2.4834	0.40268	655.3	910.32	6.1452	0.82232	1.0982	600.14	-0.28273	48.763	0.070409	supercritical
933.14	20.265	2.475	0.40405	657.99	913.88	6.1491	0.82283	1.0986	601.04	-0.28511	48.865	0.070584	supercritical
936.38	20.265	2.4666	0.40541	660.69	917.44	6.1529	0.82334	1.099	601.94	-0.28747	48.968	0.070759	supercritical
939.63	20.265	2.4583	0.40678	663.39	921.01	6.1567	0.82385	1.0994	602.85	-0.2898	49.07	0.070934	supercritical
942.87	20.265	2.4501	0.40815	666.09	924.57	6.1605	0.82436	1.0997	603.75	-0.29212	49.172	0.071109	supercritical
946.11	20.265	2.4419	0.40952	668.79	928.14	6.1642	0.82486	1.1001	604.64	-0.29442	49.274	0.071284	supercritical
949.35	20.265	2.4338	0.41089	671.49	931.71	6.168	0.82536	1.1005	605.54	-0.2967	49.376	0.071459	supercritical
952.6	20.265	2.4257	0.41226	674.19	935.28	6.1718	0.82585	1.1009	606.44	-0.29896	49.478	0.071633	supercritical
955.84	20.265	2.4177	0.41362	676.9	938.85	6.1755	0.82635	1.1012	607.33	-0.3012	49.58	0.071808	supercritical
959.08	20.265	2.4097	0.41499	679.6	942.42	6.1792	0.82684	1.1016	608.23	-0.30342	49.681	0.071982	supercritical
962.33	20.265	2.4018	0.41636	682.31	945.99	6.1829	0.82733	1.102	609.12	-0.30563	49.783	0.072156	supercritical
965.57	20.265	2.3939	0.41772	685.02	949.56	6.1867	0.82781	1.1024	610.01	-0.30782	49.884	0.07233	supercritical
968.81	20.265	2.3861	0.41909	687.73	953.14	6.1903	0.8283	1.1027	610.9	-0.30999	49.985	0.072504	supercritical
972.05	20.265	2.3784	0.42046	690.44	956.72	6.194	0.82878	1.1031	611.78	-0.31214	50.086	0.072678	supercritical
975.3	20.265	2.3707	0.42182	693.15	960.29	6.1977	0.82925	1.1035	612.67	-0.31428	50.187	0.072852	supercritical
978.54	20.265	2.363	0.42319	695.87	963.87	6.2014	0.82973	1.1038	613.55	-0.31639	50.288	0.073026	supercritical
981.78	20.265	2.3554	0.42455	698.58	967.45	6.205	0.8302	1.1042	614.44	-0.3185	50.389	0.0732	supercritical
985.02	20.265	2.3479	0.42592	701.3	971.03	6.2087	0.83067	1.1046	615.32	-0.32058	50.489	0.073373	supercritical
988.27	20.265	2.3404	0.42728	704.02	974.62	6.2123	0.83114	1.1049	616.2	-0.32265	50.59	0.073547	supercritical
991.51	20.265	2.3329	0.42865	706.74	978.2	6.2159	0.8316	1.1053	617.08	-0.3247	50.69	0.07372	supercritical
994.75	20.265	2.3255	0.43001	709.46	981.78	6.2195	0.83206	1.1056	617.96	-0.32673	50.79	0.073894	supercritical
998	20.265	2.3182	0.43137	712.18	985.37	6.2231	0.83252	1.106	618.83	-0.32875	50.89	0.074067	supercritical
1001.2	20.265	2.3109	0.43274	714.9	988.96	6.2267	0.83298	1.1063	619.71	-0.33076	50.99	0.07424	supercritical
1004.5	20.265	2.3036	0.4341	717.63	992.55	6.2303	0.83343	1.1067	620.58	-0.33274	51.09	0.074413	supercritical
1007.7	20.265	2.2964	0.43546	720.35	996.13	6.2339	0.83388	1.1071	621.45	-0.33472	51.19	0.074586	supercritical
1011	20.265	2.2892	0.43683	723.08	999.73	6.2374	0.83433	1.1074	622.32	-0.33667	51.29	0.074759	supercritical
1014.2	20.265	2.2821	0.43819	725.81	1003.3	6.241	0.83478	1.1078	623.19	-0.33861	51.389	0.074932	supercritical
1017.5	20.265	2.275	0.43955	728.54	1006.9	6.2445	0.83522	1.1081	624.06	-0.34054	51.489	0.075105	supercritical
1020.7	20.265	2.268	0.44092	731.27	1010.5	6.248	0.83566	1.1084	624.93	-0.34245	51.588	0.075277	supercritical
1023.9	20.265	2.261	0.44228	734	1014.1	6.2515	0.8361	1.1088	625.8	-0.34435	51.687	0.07545	supercritical
1027.2	20.265	2.2541	0.44364	736.74	1017.7	6.2551	0.83654	1.1091	626.66	-0.34623	51.786	0.075622	supercritical
1030.4	20.265	2.2472	0.445	739.47	1021.3	6.2585	0.83698	1.1095	627.52	-0.3481	51.885	0.075795	supercritical
1033.7	20.265	2.2403	0.44636	742.21	1024.9	6.262	0.83741	1.1098	628.38	-0.34995	51.984	0.075967	supercritical
1036.9	20.265	2.2335	0.44772	744.94	1028.5	6.2655	0.83784	1.1102	629.25	-0.35179	52.083	0.076139	supercritical
1040.2	20.265	2.2268	0.44908	747.68	1032.1	6.269	0.83826	1.1105	630.1	-0.35362	52.182	0.076311	supercritical
1043.4	20.265	2.22	0.45045	750.42	1035.7	6.2724	0.83869	1.1108	630.96	-0.35543	52.28	0.076483	supercritical
1046.6	20.265	2.2133	0.45181	753.16	1039.3	6.2759	0.83911	1.1112	631.82	-0.35723	52.379	0.076655	supercritical
1049.9	20.265	2.2067	0.45317	755.91	1042.9	6.2793	0.83953	1.1115	632.67	-0.35902	52.477	0.076827	supercritical
1053.1	20.265	2.2001	0.45453	758.65	1046.5	6.2827	0.83995	1.1118	633.53	-0.36079	52.575	0.076999	supercritical
1056.4	20.265	2.1935	0.45589	761.39	1050.1	6.2862	0.84037	1.1122	634.38	-0.36255	52.673	0.07717	supercritical
1059.6	20.265	2.187	0.45725	764.14	1053.7	6.2896	0.84078	1.1125	635.23	-0.36429	52.771	0.077342	supercritical
1062.9	20.265	2.1805	0.45861	766.89	1057.3	6.293	0.8412	1.1128	636.08	-0.36602	52.869	0.077513	supercritical
1066.1	20.265	2.1741	0.45996	769.63	1060.9	6.2964	0.84161	1.1132	636.93	-0.36774	52.967	0.077685	supercritical
1069.3	20.265	2.1677	0.46132	772.38	1064.5	6.2997	0.84201	1.1135	637.78	-0.36945	53.065	0.077856	supercritical
1072.6	20.265	2.1613	0.46268	775.13	1068.2	6.3031	0.84242	1.1138	638.63	-0.37114	53.162	0.078027	supercritical
1075.8	20.265	2.155	0.46404	777.89	1071.8	6.3065	0.84282	1.1141	639.47	-0.37283	53.26	0.078199	supercritical
1079.1	20.265	2.1487	0.4654	780.64	1075.4	6.3098	0.84323	1.1145	640.32	-0.3745	53.357	0.07837	supercritical
1082.3	20.265	2.1424	0.46676	783.39	1079	6.3132	0.84362	1.1148	641.16	-0.37615	53.455	0.078541	supercritical
1085.5	20.265	2.1362	0.46812	786.15	1082.6	6.3165	0.84402	1.1151	642	-0.3778	53.552	0.078711	supercritical
1088.8	20.265	2.13	0.46947	788.91	1086.2	6.3198	0.84442	1.1154	642.84	-0.37943	53.649	0.078882	supercritical
1092	20.265	2.1239	0.47083	791.66	1089.8	6.3232	0.84481	1.1157	643.68	-0.38105	53.746	0.079053	supercritical
1095.3	20.265	2.1178	0.47219	794.42	1093.5	6.3265	0.8452	1.116	644.52	-0.38266	53.843	0.079224	supercritical
1098.5	20.265	2.1117	0.47355	797.18	1097.1	6.3298	0.84559	1.1164	645.36	-0.38426	53.939	0.079394	supercritical
1101.8	20.265	2.1057	0.4749	799.94	1100.7	6.3331	0.84598	1.1167	646.19	-0.38585	54.036	0.079565	supercritical
1105	20.265	2.0997	0.47626	802.7	1104.3	6.3363	0.84637	1.117	647.03	-0.38742	54.133	0.079735	supercritical
1108.2	20.265	2.0937	0.47762	805.47	1107.9	6.3396	0.84675	1.1173	647.86	-0.38899	54.229	0.079905	supercritical
1111.5	20.265	2.0878	0.47898	808.23	1111.6	6.3429	0.84713	1.1176	648.69	-0.39054	54.326	0.080076	supercritical
1114.7	20.265	2.0819	0.48033	811	1115.2	6.3461	0.84751	1.1179	649.53	-0.39208	54.422	0.080246	supercritical
1118	20.265	2.076	0.48169	813.76	1118.8	6.3494	0.84789	1.1182	650.36	-0.39361	54.518	0.080416	supercritical
1121.2	20.265	2.0702	0.48304	816.53	1122.4	6.3526	0.84827	1.1185	651.18	-0.39513	54.614	0.080586	supercritical
1124.5	20.265	2.0644	0.4844	819.3	1126.1	6.3559	0.84865	1.1188	652.01	-0.39664	54.71	0.080756	supercritical
1127.7	20.265	2.0586	0.48576	822.07	1129.7	6.3591	0.84902	1.1191	652.84	-0.39814	54.806	0.080925	supercritical
1130.9	20.265	2.0529	0.48711	824.84	1133.3	6.3623	0.84939	1.1195	653.67	-0.39963	54.902	0.081095	supercritical
1134.2	20.265	2.0472	0.48847	827.61	1137	6.3655	0.84976	1.1198	654.49	-0.40111	54.997	0.081265	supercritical
1137.4	20.265	2.0416	0.48982	830.39	1140.6	6.3687	0.85013	1.1201	655.31	-0.40257	55.093	0.081434	supercritical
1140.7	20.265	2.0359	0.49118	833.16	1144.2	6.3719	0.85049	1.1204	656.14	-0.40403	55.189	0.081604	supercritical
1143.9	20.265	2.0303	0.49253	835.94	1147.9	6.3751	0.85086	1.1207	656.96	-0.40548	55.284	0.081773	supercritical
1147.2	20.265	2.0247	0.49389	838.71	1151.5	6.3782	0.85122	1.121	657.78	-0.40692	55.379	0.081943	supercritical
1150.4	20.265	2.0192	0.49524	841.49	1155.1	6.3814	0.85158	1.1213	658.6	-0.40834	55.474	0.082112	supercritical
1153.6	20.265	2.0137	0.4966	844.27	1158.8	6.3846	0.85194	1.1215	659.41	-0.40976	55.57	0.082281	supercritical
1156.9	20.265	2.0082	0.49795	847.05	1162.4	6.3877	0.8523	1.1218	660.23	-0.41117	55.665	0.08245	supercritical
1160.1	20.265	2.0028	0.49931	849.83	1166	6.3908	0.85266	1.1221	661.05	-0.41257	55.76	0.082619	supercritical
1163.4	20.265	1.9974	0.50066	852.61	1169.7	6.394	0.85301	1.1224	661.86	-0.41395	55.854	0.082788	supercritical
1166.6	20.265	1.992	0.50201	855.39	1173.3	6.3971	0.85337	1.1227	662.67	-0.41533	55.949	0.082957	supercritical
1169.9	20.265	1.9866	0.50337	858.18	1177	6.4002	0.85372	1.123	663.49	-0.4167	56.044	0.083126	supercritical
1173.1	20.265	1.9813	0.50472	860.96	1180.6	6.4033	0.85407	1.1233	664.3	-0.41806	56.138	0.083294	supercritical
1176.3	20.265	1.976	0.50608	863.75	1184.2	6.4064	0.85442	1.1236	665.11	-0.41941	56.233	0.083463	supercritical
1179.6	20.265	1.9707	0.50743	866.54	1187.9	6.4095	0.85477	1.1239	665.92	-0.42076	56.327	0.083632	supercritical
1182.8	20.265	1.9655	0.50878	869.32	1191.5	6.4126	0.85511	1.1242	666.72	-0.42209	56.422	0.0838	supercritical
1186.1	20.265	1.9603	0.51014	872.11	1195.2	6.4157	0.85546	1.1245	667.53	-0.42341	56.516	0.083968	supercritical
1189.3	20.265	1.9551	0.51149	874.9	1198.8	6.4188	0.8558	1.1247	668.34	-0.42473	56.61	0.084137	supercritical
1192.6	20.265	1.9499	0.51284	877.69	1202.5	6.4218	0.85614	1.125	669.14	-0.42603	56.704	0.084305	supercritical
1195.8	20.265	1.9448	0.51419	880.48	1206.1	6.4249	0.85648	1.1253	669.95	-0.42733	56.798	0.084473	supercritical
1199	20.265	1.9397	0.51555	883.28	1209.8	6.4279	0.85682	1.1256	670.75	-0.42862	56.892	0.084641	supercritical
1202.3	20.265	1.9346	0.5169	886.07	1213.4	6.431	0.85716	1.1259	671.55	-0.4299	56.986	0.084809	supercritical
1205.5	20.265	1.9296	0.51825	888.87	1217.1	6.434	0.85749	1.1262	672.35	-0.43117	57.079	0.084977	supercritical
1208.8	20.265	1.9245	0.5196	891.66	1220.7	6.437	0.85783	1.1264	673.15	-0.43243	57.173	0.085145	supercritical
1212	20.265	1.9195	0.52096	894.46	1224.4	6.44	0.85816	1.1267	673.95	-0.43369	57.267	0.085313	supercritical
1215.3	20.265	1.9146	0.52231	897.26	1228	6.4431	0.85849	1.127	674.75	-0.43494	57.36	0.085481	supercritical
1218.5	20.265	1.9096	0.52366	900.06	1231.7	6.4461	0.85883	1.1273	675.54	-0.43617	57.453	0.085648	supercritical
1221.7	20.265	1.9047	0.52501	902.86	1235.3	6.4491	0.85915	1.1275	676.34	-0.4374	57.547	0.085816	supercritical
1225	20.265	1.8998	0.52636	905.66	1239	6.452	0.85948	1.1278	677.13	-0.43863	57.64	0.085983	supercritical
1228.2	20.265	1.895	0.52771	908.46	1242.7	6.455	0.85981	1.1281	677.93	-0.43984	57.733	0.086151	supercritical
1231.5	20.265	1.8901	0.52907	911.26	1246.3	6.458	0.86014	1.1284	678.72	-0.44105	57.826	0.086318	supercritical
1234.7	20.265	1.8853	0.53042	914.07	1250	6.461	0.86046	1.1286	679.51	-0.44224	57.919	0.086485	supercritical
1238	20.265	1.8805	0.53177	916.87	1253.6	6.4639	0.86078	1.1289	680.3	-0.44343	58.012	0.086653	supercritical
1241.2	20.265	1.8758	0.53312	919.68	1257.3	6.4669	0.8611	1.1292	681.09	-0.44462	58.105	0.08682	supercritical
1244.4	20.265	1.871	0.53447	922.48	1261	6.4698	0.86143	1.1295	681.88	-0.44579	58.197	0.086987	supercritical
1247.7	20.265	1.8663	0.53582	925.29	1264.6	6.4728	0.86175	1.1297	682.67	-0.44696	58.29	0.087154	supercritical
1250.9	20.265	1.8616	0.53717	928.1	1268.3	6.4757	0.86206	1.13	683.45	-0.44812	58.383	0.087321	supercritical
1254.2	20.265	1.8569	0.53852	930.91	1272	6.4786	0.86238	1.1303	684.24	-0.44927	58.475	0.087487	supercritical
1257.4	20.265	1.8523	0.53987	933.72	1275.6	6.4815	0.8627	1.1305	685.02	-0.45042	58.567	0.087654	supercritical
1260.7	20.265	1.8477	0.54122	936.53	1279.3	6.4845	0.86301	1.1308	685.81	-0.45155	58.66	0.087821	supercritical
1263.9	20.265	1.8431	0.54257	939.34	1283	6.4874	0.86333	1.1311	686.59	-0.45268	58.752	0.087988	supercritical
1267.1	20.265	1.8385	0.54392	942.16	1286.6	6.4903	0.86364	1.1313	687.37	-0.45381	58.844	0.088154	supercritical
1270.4	20.265	1.8339	0.54527	944.97	1290.3	6.4932	0.86395	1.1316	688.15	-0.45492	58.936	0.088321	supercritical
1273.6	20.265	1.8294	0.54662	947.79	1294	6.496	0.86426	1.1319	688.93	-0.45603	59.028	0.088487	supercritical
1276.9	20.265	1.8249	0.54797	950.6	1297.6	6.4989	0.86457	1.1321	689.71	-0.45713	59.12	0.088653	supercritical
1280.1	20.265	1.8204	0.54932	953.42	1301.3	6.5018	0.86488	1.1324	690.49	-0.45823	59.212	0.08882	supercritical
1283.4	20.265	1.816	0.55067	956.24	1305	6.5047	0.86519	1.1327	691.26	-0.45932	59.304	0.088986	supercritical
1286.6	20.265	1.8115	0.55202	959.05	1308.7	6.5075	0.86549	1.1329	692.04	-0.4604	59.395	0.089152	supercritical
1289.8	20.265	1.8071	0.55337	961.87	1312.3	6.5104	0.8658	1.1332	692.81	-0.46147	59.487	0.089318	supercritical
1293.1	20.265	1.8027	0.55472	964.7	1316	6.5132	0.8661	1.1334	693.59	-0.46254	59.578	0.089484	supercritical
1296.3	20.265	1.7983	0.55607	967.52	1319.7	6.516	0.86641	1.1337	694.36	-0.4636	59.67	0.08965	supercritical
1299.6	20.265	1.794	0.55742	970.34	1323.4	6.5189	0.86671	1.134	695.13	-0.46465	59.761	0.089816	supercritical
1302.8	20.265	1.7897	0.55876	973.16	1327	6.5217	0.86701	1.1342	695.9	-0.4657	59.853	0.089982	supercritical
1306.1	20.265	1.7854	0.56011	975.99	1330.7	6.5245	0.86731	1.1345	696.67	-0.46674	59.944	0.090147	supercritical
1309.3	20.265	1.7811	0.56146	978.81	1334.4	6.5273	0.86761	1.1347	697.44	-0.46777	60.035	0.090313	supercritical
1312.5	20.265	1.7768	0.56281	981.64	1338.1	6.5301	0.86791	1.135	698.21	-0.4688	60.126	0.090479	supercritical
1315.8	20.265	1.7726	0.56416	984.47	1341.7	6.5329	0.86821	1.1353	698.98	-0.46982	60.217	0.090644	supercritical
1319	20.265	1.7683	0.56551	987.29	1345.4	6.5357	0.8685	1.1355	699.75	-0.47084	60.308	0.09081	supercritical
1322.3	20.265	1.7641	0.56685	990.12	1349.1	6.5385	0.8688	1.1358	700.51	-0.47185	60.399	0.090975	supercritical
1325.5	20.265	1.7599	0.5682	992.95	1352.8	6.5413	0.86909	1.136	701.28	-0.47285	60.49	0.09114	supercritical
1328.8	20.265	1.7558	0.56955	995.78	1356.5	6.5441	0.86939	1.1363	702.04	-0.47385	60.58	0.091306	supercritical
1332	20.265	1.7516	0.5709	998.61	1360.2	6.5469	0.86968	1.1365	702.8	-0.47484	60.671	0.091471	supercritical
1335.2	20.265	1.7475	0.57225	1001.4	1363.9	6.5496	0.86997	1.1368	703.56	-0.47582	60.761	0.091636	supercritical
1338.5	20.265	1.7434	0.57359	1004.3	1367.5	6.5524	0.87026	1.137	704.32	-0.4768	60.852	0.091801	supercritical
1341.7	20.265	1.7393	0.57494	1007.1	1371.2	6.5551	0.87056	1.1373	705.08	-0.47777	60.942	0.091966	supercritical
1345	20.265	1.7352	0.57629	1009.9	1374.9	6.5579	0.87084	1.1375	705.84	-0.47874	61.033	0.092131	supercritical
1348.2	20.265	1.7312	0.57764	1012.8	1378.6	6.5606	0.87113	1.1378	706.6	-0.4797	61.123	0.092296	supercritical
1351.5	20.265	1.7272	0.57898	1015.6	1382.3	6.5634	0.87142	1.138	707.36	-0.48065	61.213	0.092461	supercritical
1354.7	20.265	1.7232	0.58033	1018.5	1386	6.5661	0.87171	1.1383	708.12	-0.4816	61.303	0.092625	supercritical
1357.9	20.265	1.7192	0.58168	1021.3	1389.7	6.5688	0.872	1.1385	708.87	-0.48254	61.393	0.09279	supercritical
1361.2	20.265	1.7152	0.58302	1024.1	1393.4	6.5715	0.87228	1.1388	709.63	-0.48348	61.483	0.092955	supercritical
1364.4	20.265	1.7112	0.58437	1027	1397.1	6.5742	0.87257	1.139	710.38	-0.48441	61.573	0.093119	supercritical
1367.7	20.265	1.7073	0.58572	1029.8	1400.8	6.5769	0.87285	1.1393	711.13	-0.48533	61.663	0.093284	supercritical
1370.9	20.265	1.7034	0.58706	1032.7	1404.5	6.5796	0.87313	1.1395	711.89	-0.48625	61.753	0.093448	supercritical
1374.2	20.265	1.6995	0.58841	1035.5	1408.1	6.5823	0.87342	1.1398	712.64	-0.48717	61.843	0.093613	supercritical
1377.4	20.265	1.6956	0.58976	1038.3	1411.8	6.585	0.8737	1.14	713.39	-0.48808	61.932	0.093777	supercritical
1380.6	20.265	1.6917	0.5911	1041.2	1415.5	6.5877	0.87398	1.1403	714.14	-0.48898	62.022	0.093941	supercritical
1383.9	20.265	1.6879	0.59245	1044	1419.2	6.5904	0.87426	1.1405	714.88	-0.48988	62.112	0.094105	supercritical
1387.1	20.265	1.6841	0.5938	1046.9	1422.9	6.593	0.87454	1.1408	715.63	-0.49077	62.201	0.094269	supercritical
1390.4	20.265	1.6803	0.59514	1049.7	1426.6	6.5957	0.87482	1.141	716.38	-0.49166	62.29	0.094434	supercritical
1393.6	20.265	1.6765	0.59649	1052.6	1430.3	6.5984	0.8751	1.1413	717.13	-0.49254	62.38	0.094598	supercritical
1396.9	20.265	1.6727	0.59784	1055.4	1434	6.601	0.87538	1.1415	717.87	-0.49342	62.469	0.094761	supercritical
