Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
321.27,20.265,6.7883,0.14731,2894.9,4375.8,32.47,10.4,14.726,1533.6,-0.42368,9.6781,0.21147,supercritical
322.92,20.265,6.7567,0.148,2912.2,4400,32.545,10.403,14.726,1536.6,-0.425,9.7081,0.21217,supercritical
324.56,20.265,6.7254,0.14869,2929.5,4424.2,32.62,10.407,14.726,1539.6,-0.42631,9.7381,0.21286,supercritical
326.2,20.265,6.6944,0.14938,2946.8,4448.4,32.694,10.41,14.726,1542.5,-0.42761,9.7681,0.21356,supercritical
327.85,20.265,6.6637,0.15007,2964,4472.6,32.768,10.412,14.727,1545.5,-0.4289,9.798,0.21425,supercritical
329.49,20.265,6.6332,0.15076,2981.3,4496.8,32.842,10.415,14.727,1548.4,-0.43018,9.828,0.21494,supercritical
331.13,20.265,6.6031,0.15144,2998.6,4521,32.915,10.418,14.727,1551.3,-0.43145,9.8579,0.21563,supercritical
332.78,20.265,6.5732,0.15213,3015.9,4545.2,32.988,10.421,14.727,1554.3,-0.43271,9.8878,0.21632,supercritical
334.42,20.265,6.5437,0.15282,3033.2,4569.4,33.061,10.423,14.727,1557.2,-0.43396,9.9177,0.21701,supercritical
336.06,20.265,6.5144,0.15351,3050.5,4593.6,33.133,10.426,14.726,1560.1,-0.4352,9.9476,0.21769,supercritical
337.71,20.265,6.4853,0.15419,3067.8,4617.8,33.205,10.428,14.726,1563.1,-0.43644,9.9775,0.21838,supercritical
339.35,20.265,6.4565,0.15488,3085.1,4642,33.276,10.43,14.726,1566,-0.43766,10.007,0.21906,supercritical
340.99,20.265,6.428,0.15557,3102.4,4666.2,33.347,10.433,14.726,1568.9,-0.43888,10.037,0.21975,supercritical
342.64,20.265,6.3998,0.15626,3119.6,4690.4,33.418,10.435,14.726,1571.8,-0.44009,10.067,0.22043,supercritical
344.28,20.265,6.3718,0.15694,3136.9,4714.6,33.489,10.437,14.725,1574.7,-0.44129,10.097,0.22111,supercritical
345.92,20.265,6.344,0.15763,3154.2,4738.8,33.559,10.439,14.725,1577.6,-0.44248,10.127,0.22179,supercritical
347.57,20.265,6.3165,0.15832,3171.5,4763,33.629,10.441,14.724,1580.5,-0.44366,10.157,0.22247,supercritical
349.21,20.265,6.2892,0.159,3188.8,4787.2,33.698,10.443,14.724,1583.4,-0.44483,10.186,0.22314,supercritical
350.86,20.265,6.2622,0.15969,3206.1,4811.4,33.767,10.444,14.724,1586.3,-0.446,10.216,0.22382,supercritical
352.5,20.265,6.2354,0.16037,3223.4,4835.6,33.836,10.446,14.723,1589.2,-0.44716,10.246,0.2245,supercritical
354.14,20.265,6.2089,0.16106,3240.7,4859.8,33.905,10.448,14.723,1592.1,-0.4483,10.276,0.22517,supercritical
355.79,20.265,6.1826,0.16174,3258,4884,33.973,10.449,14.722,1595,-0.44945,10.305,0.22584,supercritical
