x_mm,r_mm
-344.13086,41.93708
-343.93086,41.93708
-343.73086,41.93708
-343.53086,41.93708
-343.33086,41.93708
-343.13086,41.93708
-342.93086,41.93708
-342.73086,41.93708
-342.53086,41.93708
-342.33086,41.93708
-342.13086,41.93708
-341.93086,41.93708
-341.73086,41.93708
-341.53086,41.93708
-341.33086,41.93708
-341.13086,41.93708
-340.93086,41.93708
-340.73086,41.93708
-340.53086,41.93708
-340.33086,41.93708
-340.13086,41.93708
-339.93086,41.93708
-339.73086,41.93708
-339.53086,41.93708
-339.33086,41.93708
-339.13086,41.93708
-338.93086,41.93708
-338.73086,41.93708
-338.53086,41.93708
-338.33086,41.93708
-338.13086,41.93708
-337.93086,41.93708
-337.73086,41.93708
-337.53086,41.93708
-337.33086,41.93708
-337.13086,41.93708
-336.93086,41.93708
-336.73086,41.93708
-336.53086,41.93708
-336.33086,41.93708
-336.13086,41.93708
-335.93086,41.93708
-335.73086,41.93708
-335.53086,41.93708
-335.33086,41.93708
-335.13086,41.93708
-334.93086,41.93708
-334.73086,41.93708
-334.53086,41.93708
-334.33086,41.93708
-334.13086,41.93708
-333.93086,41.93708
-333.73086,41.93708
-333.53086,41.93708
-333.33086,41.93708
-333.13086,41.93708
-332.93086,41.93708
-332.73086,41.93708
-332.53086,41.93708
-332.33086,41.93708
-332.13086,41.93708
-331.93086,41.93708
-331.73086,41.93708
-331.53086,41.93708
-331.33086,41.93708
-331.13086,41.93708
-330.93086,41.93708
-330.73086,41.93708
-330.53086,41.93708
-330.33086,41.93708
-330.13086,41.93708
-329.93086,41.93708
-329.73086,41.93708
-329.53086,41.93708
-329.33086,41.93708
-329.13086,41.93708
-328.93086,41.93708
-328.73086,41.93708
-328.53086,41.93708
-328.33086,41.93708
-328.13086,41.93708
-327.93086,41.93708
-327.73086,41.93708
-327.53086,41.93708
-327.33086,41.93708
-327.13086,41.93708
-326.93086,41.93708
-326.73086,41.93708
-326.53086,41.93708
-326.33086,41.93708
-326.13086,41.93708
-325.93086,41.93708
-325.73086,41.93708
-325.53086,41.93708
-325.33086,41.93708
-325.13086,41.93708
-324.93086,41.93708
-324.73086,41.93708
