x_mm,r_inner_mm,r_floor_mm,r_centerline_mm,r_ceiling_mm
-68.71091,48.38320,49.38320,49.96942,50.55564
-67.71091,48.38232,49.38232,49.96801,50.55370
-66.71091,48.35450,49.35450,49.93966,50.52483
-65.71091,48.28756,49.28756,49.87220,50.45684
-64.71091,48.18120,49.18120,49.76531,50.34942
-63.71091,48.03491,49.03491,49.61849,50.20208
-62.71091,47.84800,48.84800,49.43106,50.01411
-61.71091,47.61955,48.61955,49.20208,49.78461
-60.71091,47.34841,48.34841,48.93041,49.51242
-59.71091,47.03315,48.03315,48.61463,49.19610
-58.71091,46.67203,47.67203,48.25298,48.83392
-57.71091,46.26293,47.26293,47.84335,48.42377
-56.71091,45.80330,46.80330,47.38320,47.96309
-55.71091,45.29007,46.29007,46.86943,47.44880
-54.71091,44.72393,45.72393,46.30277,46.88161
-53.71091,44.14658,45.14658,45.72489,46.30320
-52.71091,43.56923,44.56923,45.14702,45.72480
-51.71091,42.99188,43.99188,44.56914,45.14640
-50.71091,42.41453,43.41453,43.99126,44.56799
-49.71091,41.83718,42.83718,43.41338,43.98959
-48.71091,41.25983,42.25983,42.83551,43.41118
-47.71091,40.68248,41.68248,42.25763,42.83278
-46.71091,40.10513,41.10513,41.67975,42.25437
-45.71091,39.52778,40.52778,41.10187,41.67597
-44.71091,38.95043,39.95043,40.52400,41.09756
-43.71091,38.37308,39.37308,39.94612,40.51916
-42.71091,37.79573,38.79573,39.36824,39.94076
-41.71091,37.21838,38.21838,38.79036,39.36235
-40.71091,36.64103,37.64103,38.21249,38.78395
-39.71091,36.06368,37.06368,37.63461,38.20554
-38.71091,35.48633,36.48633,37.05673,37.62714
-37.71091,34.90898,35.90898,36.47885,37.04873
-36.71091,34.33163,35.33163,35.90098,36.47033
-35.71091,33.75428,34.75428,35.32310,35.89192
-34.71091,33.17693,34.17693,34.74522,35.31352
-33.71091,32.59958,33.59958,34.16735,34.73511
-32.71091,32.02223,33.02223,33.58947,34.15671
-31.71091,31.44488,32.44488,33.01159,33.57831
-30.71091,30.86752,31.86752,32.43371,32.99990
-29.71091,30.29017,31.29017,31.85584,32.42150
-28.71091,29.71282,30.71282,31.27796,31.84309
-27.71091,29.13547,30.13547,30.70008,31.26469
-26.71091,28.55812,29.55812,30.12220,30.68628
-25.71091,27.98077,28.98077,29.54433,30.10788
-24.71091,27.40342,28.40342,28.96645,29.52947
-23.71091,26.82607,27.82607,28.38857,28.95107
-22.71091,26.24872,27.24872,27.81069,28.37267
-21.71091,25.67137,26.67137,27.23282,27.79426
-20.71091,25.09402,26.09402,26.65494,27.21586
-19.71091,24.51667,25.51667,26.07706,26.63745
-18.71091,23.93932,24.93932,25.49918,26.05905
-17.71091,23.36197,24.36197,24.92131,25.48064
-16.71091,22.78462,23.78462,24.34343,24.90224
-15.71091,22.20727,23.20727,23.76555,24.32383
-14.71091,21.62992,22.62992,23.18767,23.74543
-13.71091,21.05257,22.05257,22.60980,23.16702
-12.71091,20.47564,21.47564,22.03234,22.58904
-11.71091,19.93438,20.93438,21.49055,22.04673
-10.71091,19.44851,20.44851,21.00415,21.55980
-9.71091,19.01462,20.01462,20.56974,21.12486
-8.71091,18.62991,19.62991,20.18451,20.73910
-7.71091,18.29207,19.29207,19.84614,20.40020
-6.71091,17.99918,18.99918,19.55272,20.10625
-5.71091,17.74965,18.74965,19.30266,19.85567
-4.71091,17.54221,18.54221,19.09469,19.64717
-3.71091,17.37581,18.37581,18.92776,19.47972
-2.71091,17.24965,18.24965,18.80108,19.35251
-1.71091,17.16315,18.16315,18.71405,19.26495
-0.71091,17.11590,18.11590,18.66627,19.21665
0.28909,17.11244,18.11244,18.66322,19.21401
1.28909,17.23446,18.23446,18.78794,19.34143
2.28909,17.52011,18.52011,19.07629,19.63248
3.28909,17.99411,18.99411,19.55299,20.11188
4.28909,18.56414,19.56414,20.12573,20.68731
5.28909,19.12065,20.12065,20.68494,21.24923
6.28909,19.66434,20.66434,21.23133,21.79832
7.28909,20.19584,21.19584,21.76553,22.33523
8.28909,20.71575,21.71575,22.28815,22.86054
9.28909,21.22461,22.22461,22.79970,23.37480
10.28909,21.72291,22.72291,23.30071,23.87851
11.28909,22.21113,23.21113,23.79163,24.37213
12.28909,22.68969,23.68969,24.27289,24.85609
13.28909,23.15899,24.15899,24.74490,25.33080
14.28909,23.61942,24.61942,25.20802,25.79663
15.28909,24.07131,25.07131,25.66262,26.25392
16.28909,24.51500,25.51500,26.10901,26.70302
17.28909,24.95079,25.95079,26.54750,27.14421
